element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
396,4,7,1,True,2020-09-13T15:30:00Z,0,1,1,90,0,0,0,1,0,0,0,1,0,0,0,8,15.4,5.0,0.0,2.0,50,0,66864,0,0
396,17,16,2,False,2020-09-20T11:00:00Z,2,5,2,90,0,0,0,2,0,0,0,0,0,0,0,14,9.2,1.3,0.0,1.1,50,-9168,62000,4352,13520
396,26,14,2,True,2020-09-27T13:00:00Z,1,1,3,90,0,0,0,1,0,0,0,0,0,0,0,14,18.2,32.1,8.0,5.8,49,-9098,54887,5340,14438
396,35,13,5,False,2020-10-04T15:30:00Z,1,6,4,90,0,1,0,1,0,0,0,0,0,0,0,28,34.2,23.3,1.0,5.9,49,-1613,55108,7214,8827
396,47,19,2,True,2020-10-18T15:30:00Z,3,3,5,90,0,0,0,3,0,0,0,0,0,0,0,11,15.0,13.6,2.0,3.1,49,714,59006,11209,10495
396,52,4,3,False,2020-10-26T20:00:00Z,0,1,6,90,0,0,1,0,0,0,0,0,0,0,0,11,18.2,4.8,0.0,2.3,49,-191,59980,7258,7449
396,67,3,2,True,2020-11-01T19:15:00Z,2,1,7,90,0,0,0,1,0,0,0,0,0,0,0,13,15.0,2.9,0.0,1.8,49,566,61562,6265,5699
396,77,18,3,False,2020-11-08T12:00:00Z,0,1,8,90,0,0,1,0,0,0,0,0,0,0,0,11,24.6,3.7,0.0,2.8,49,-1526,60551,4579,6105
396,87,12,3,True,2020-11-21T17:30:00Z,2,0,9,90,0,0,1,0,0,0,0,0,0,0,0,21,16.2,1.3,2.0,2.0,49,-2416,59000,4411,6827
396,91,5,3,False,2020-11-29T16:30:00Z,0,0,10,90,0,0,1,0,0,0,0,0,0,0,0,13,9.8,2.8,4.0,1.7,49,2533,62786,6227,3694
396,106,1,3,True,2020-12-06T16:30:00Z,2,0,11,90,0,0,1,0,0,0,0,0,0,0,0,13,19.8,0.9,7.0,2.8,49,2527,66575,7460,4933
396,110,6,2,False,2020-12-13T14:15:00Z,1,1,12,90,0,0,0,1,0,0,0,0,0,0,0,17,12.8,3.8,3.0,2.0,49,5969,73502,10608,4639
396,127,11,1,False,2020-12-16T20:00:00Z,2,1,13,90,0,0,0,2,0,0,0,1,0,0,0,5,13.8,0.3,0.0,1.4,49,1534,75316,5897,4363
396,137,9,2,True,2020-12-20T14:15:00Z,0,2,14,90,0,0,0,2,0,0,0,0,0,0,0,12,14.4,13.8,4.0,3.2,49,-30,75869,5144,5174
396,148,20,2,False,2020-12-27T19:15:00Z,1,1,15,90,0,0,0,1,0,0,0,0,0,0,0,10,11.2,2.0,0.0,1.3,49,1555,78583,7966,6411
396,167,10,2,True,2021-01-02T12:30:00Z,3,0,17,90,0,0,1,0,0,0,0,1,0,0,0,17,29.6,13.7,24.0,6.7,49,-2819,75471,2822,5641
396,157,8,1,True,2021-01-13T20:15:00Z,1,1,18,90,0,0,0,1,0,0,0,1,0,0,0,5,12.0,4.2,11.0,2.7,49,-6682,66252,4428,11110
396,186,15,5,False,2021-01-17T14:00:00Z,1,3,19,90,0,1,0,1,0,0,0,0,0,0,0,22,39.8,23.4,8.0,7.1,49,-3407,65858,2008,5415
396,198,11,7,True,2021-01-28T20:00:00Z,1,3,20,90,1,0,0,3,0,0,0,0,0,0,0,31,51.2,4.6,11.0,6.7,49,-1035,66328,4170,5205
396,200,3,2,False,2021-01-31T19:15:00Z,1,0,21,90,0,0,0,1,0,0,0,0,0,0,0,13,14.2,6.2,0.0,2.0,49,676,67572,4333,3657
396,218,5,1,True,2021-02-04T20:00:00Z,0,1,22,90,0,0,0,1,0,0,0,1,0,0,0,11,10.0,4.3,0.0,1.4,49,93,68250,3583,3490
396,227,18,9,True,2021-02-07T12:00:00Z,2,0,23,90,0,1,1,0,0,0,0,0,0,0,3,35,40.6,17.0,0.0,5.8,49,-1731,67186,2543,4274
396,235,12,2,False,2021-02-13T17:30:00Z,3,0,24,90,0,0,0,3,0,0,0,0,0,0,0,10,13.6,2.8,0.0,1.6,49,556,68591,5182,4626
