element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
276,18,20,5,False,2020-09-21T19:15:00Z,1,3,2,81,0,1,0,1,0,0,0,0,0,0,0,17,22.2,14.7,29.0,6.6,115,70648,322864,106804,36156
276,24,9,2,True,2020-09-27T15:30:00Z,2,5,3,90,0,0,0,5,0,0,0,0,0,0,0,-4,4.6,6.5,40.0,5.1,115,92242,431789,158435,66193
276,33,10,9,False,2020-10-03T16:30:00Z,1,1,4,90,1,0,0,1,0,0,0,0,0,0,2,21,43.2,54.3,69.0,16.7,115,54283,496951,108435,54152
276,44,1,11,True,2020-10-17T16:30:00Z,1,0,5,90,1,0,1,0,0,0,0,0,0,0,3,28,39.4,21.0,35.0,9.5,115,-54119,436941,91739,145858
276,57,19,2,False,2020-10-24T11:30:00Z,1,1,6,90,0,0,0,1,0,0,0,0,0,0,0,1,5.6,2.1,27.0,3.5,116,100619,557608,138478,37859
276,66,15,3,False,2020-10-31T12:30:00Z,0,1,7,90,0,0,1,0,0,0,0,0,0,0,0,17,9.8,18.3,54.0,8.2,116,-15902,541559,43987,59889
276,75,11,1,True,2020-11-08T16:30:00Z,1,1,8,90,0,0,0,1,0,0,0,1,0,0,0,4,4.0,4.8,29.0,3.8,116,-75608,463779,13479,89087
276,87,17,1,False,2020-11-21T17:30:00Z,2,0,9,18,0,0,0,0,0,0,0,0,0,0,0,2,0.0,11.0,7.0,1.8,115,-116904,344145,13113,130017
276,95,4,0,True,2020-11-28T15:00:00Z,5,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,115,5480,365304,40427,34947
276,104,8,13,True,2020-12-05T15:00:00Z,2,0,11,90,1,1,1,0,0,0,0,0,0,0,2,33,43.6,3.8,77.0,12.4,114,-55736,305795,15975,71711
276,115,13,3,False,2020-12-12T17:30:00Z,0,0,12,90,0,0,1,0,0,0,0,0,0,0,0,1,4.0,4.1,30.0,3.8,114,-9147,298936,17531,26678
276,128,18,7,True,2020-12-15T20:00:00Z,1,1,13,90,0,1,0,1,0,0,0,0,0,0,2,22,34.2,61.6,86.0,18.2,114,34544,340830,48439,13895
276,136,16,8,False,2020-12-19T15:00:00Z,0,1,14,90,1,0,1,0,0,0,0,0,0,0,0,20,38.0,4.5,28.0,7.1,114,-13309,323173,16361,29670
276,145,14,6,True,2020-12-26T20:00:00Z,2,0,15,90,0,1,1,0,0,0,0,0,0,0,0,28,31.4,26.0,71.0,12.8,114,16739,346580,41683,24944
276,161,5,5,False,2021-01-03T16:30:00Z,1,3,17,90,0,1,0,1,0,0,0,0,0,0,0,22,6.4,25.9,10.0,4.2,114,-13889,320067,23908,37797
276,178,3,-1,True,2021-01-13T18:00:00Z,1,0,18,8,0,0,0,0,0,0,1,0,0,0,0,-9,0.0,0.3,26.0,2.4,114,22473,382374,80506,58033
276,185,6,8,True,2021-01-17T19:15:00Z,4,0,19,90,1,0,1,0,0,0,0,0,0,0,0,25,41.8,6.2,37.0,8.5,114,-8383,336494,33191,41574
276,380,2,3,True,2021-01-20T18:00:00Z,2,0,19,71,0,0,1,0,0,0,0,0,0,0,0,3,2.4,24.2,44.0,7.1,114,-8383,336494,33191,41574
276,193,18,11,False,2021-01-26T20:15:00Z,0,5,20,90,1,1,1,0,0,0,0,0,0,0,0,38,55.0,20.8,105.0,18.1,115,417851,761115,452070,34219
276,205,15,0,True,2021-01-30T15:00:00Z,1,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,116,235631,999753,261966,26335
276,210,4,8,False,2021-02-03T18:00:00Z,0,2,22,90,1,0,1,0,0,0,0,0,0,0,0,25,50.6,27.9,75.0,15.4,116,-50535,945944,64223,114758
276,223,11,8,False,2021-02-07T16:30:00Z,1,4,23,90,1,0,0,1,0,0,0,0,0,0,1,36,49.4,25.3,47.0,12.2,116,-34244,913499,58476,92720
276,235,17,6,True,2021-02-13T17:30:00Z,3,0,24,90,0,1,1,0,0,0,0,0,0,0,0,29,34.6,42.2,41.0,11.8,116,254636,1211408,295126,40490
276,153,7,1,False,2021-02-17T20:15:00Z,1,3,24,79,0,0,0,1,0,0,0,1,0,0,0,9,4.4,15.8,10.0,3.0,116,254636,1211408,295126,40490
