element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
123,7,3,14,False,2020-09-14T19:15:00Z,1,3,1,90,1,1,0,1,0,0,0,0,0,0,3,44,76.8,30.3,11.0,11.8,50,0,304155,0,0
123,11,11,1,True,2020-09-20T15:30:00Z,0,2,2,90,0,0,0,2,0,0,0,0,0,0,0,15,24.8,5.0,2.0,3.2,50,163043,593870,219376,56333
123,27,18,1,False,2020-09-26T16:30:00Z,3,3,3,90,0,0,0,3,0,0,0,1,0,0,1,27,36.8,89.7,4.0,13.1,51,426692,1135471,522263,95571
123,31,6,0,True,2020-10-03T11:30:00Z,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,51,24920,1152060,129142,104222
123,39,16,1,True,2020-10-17T14:00:00Z,3,3,5,3,0,0,0,1,0,0,0,0,0,0,0,2,1.2,0.3,0.0,0.2,51,-195624,957377,52523,248147
123,55,13,8,False,2020-10-24T16:30:00Z,0,0,6,90,0,0,1,0,0,0,0,0,0,0,2,32,18.8,3.7,20.0,4.3,50,-178983,785928,11973,190956
123,60,4,6,False,2020-10-31T15:00:00Z,0,3,7,90,0,0,1,0,0,0,0,0,0,0,0,25,6.8,9.9,13.0,3.0,50,30239,833926,66708,36469
123,71,15,2,True,2020-11-07T17:30:00Z,4,1,8,90,0,0,0,1,0,0,0,0,0,0,0,13,16.2,22.3,15.0,5.4,50,62788,901837,88908,26120
123,85,14,8,False,2020-11-21T12:30:00Z,0,2,9,90,0,0,1,0,0,0,0,0,0,0,2,28,13.2,11.1,11.0,3.5,50,29343,936916,82283,52940
123,91,17,6,True,2020-11-29T16:30:00Z,0,0,10,90,0,0,1,0,0,0,0,1,0,0,1,27,17.2,48.0,0.0,6.5,51,41159,975673,68964,27805
123,102,10,5,True,2020-12-05T20:00:00Z,3,1,11,90,0,1,0,1,0,0,0,0,0,0,0,26,30.2,28.8,6.0,6.5,52,208720,1223340,227125,18405
123,111,7,1,False,2020-12-12T20:00:00Z,1,0,12,90,0,0,0,1,0,0,0,1,0,0,0,6,16.8,5.3,32.0,5.4,53,130398,1340242,155129,24731
123,126,20,1,False,2020-12-15T18:00:00Z,2,1,13,90,0,0,0,2,0,0,0,0,0,0,0,11,12.6,23.1,11.0,4.7,53,56416,1400542,87003,30587
123,131,19,0,True,2020-12-21T20:00:00Z,3,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,19976,1424039,66186,46210
123,139,1,1,False,2020-12-26T17:30:00Z,3,1,15,90,0,0,0,3,0,0,0,0,0,0,0,10,9.6,29.3,1.0,4.0,52,-422668,988256,9788,432456
123,151,2,0,True,2020-12-28T17:30:00Z,1,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,52,-12379,993066,40390,52769
123,161,12,0,True,2021-01-03T16:30:00Z,1,3,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,52,-197082,794896,8234,205316
123,181,8,0,False,2021-01-16T17:30:00Z,0,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,51,-20524,584609,38997,59521
123,173,9,1,False,2021-01-19T20:15:00Z,2,0,19,90,0,0,0,2,0,0,0,0,0,0,0,17,24.0,34.9,34.0,9.3,51,-20524,584609,38997,59521
123,194,20,0,True,2021-01-27T18:00:00Z,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,51,-34776,548096,15788,50564
123,201,4,1,True,2021-01-31T12:00:00Z,2,0,21,17,0,0,0,0,0,0,0,0,0,0,0,2,5.2,3.7,23.0,3.2,51,-36519,512195,6379,42898
123,218,17,8,False,2021-02-04T20:00:00Z,0,1,22,90,0,0,1,0,0,0,0,0,0,0,2,32,15.2,43.1,26.0,8.4,51,-31551,481212,2650,34201
