element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
166,4,17,2,False,2020-09-13T15:30:00Z,0,1,1,90,0,0,1,0,0,0,0,0,0,0,0,17,26.2,13.8,67.0,10.7,80,0,583310,0,0
166,12,18,12,True,2020-09-19T11:30:00Z,5,2,2,90,0,3,0,2,0,0,0,0,0,0,1,40,39.4,22.9,79.0,14.1,80,55242,728227,144955,89713
166,21,6,8,False,2020-09-26T14:00:00Z,1,2,3,89,1,0,0,1,0,0,0,1,0,0,3,32,42.0,3.2,25.0,7.0,80,16344,777072,114962,98618
166,32,3,1,True,2020-10-03T14:00:00Z,4,2,4,24,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.7,8.0,0.9,80,-79732,705312,90791,170523
166,41,11,-1,True,2020-10-17T11:30:00Z,2,2,5,89,0,0,0,2,0,0,0,0,1,0,0,-6,0.0,11.6,14.0,2.4,79,-135330,578039,30176,165506
166,56,16,0,False,2020-10-25T14:00:00Z,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,79,-228244,352665,1848,230092
166,65,14,0,False,2020-11-01T14:00:00Z,2,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,78,-62633,298373,544,63177
166,73,13,0,True,2020-11-07T12:30:00Z,1,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,78,-25485,274181,638,26123
166,81,8,5,False,2020-11-22T12:00:00Z,2,3,9,75,0,1,0,2,0,0,0,0,0,0,0,12,14.6,13.3,70.0,9.8,78,28106,310046,41651,13545
166,93,10,2,True,2020-11-28T17:30:00Z,0,1,10,90,0,0,0,1,0,0,0,0,0,0,0,7,20.6,24.6,53.0,9.8,78,17025,327624,26103,9078
166,101,4,7,False,2020-12-05T12:30:00Z,1,1,11,90,0,1,0,1,0,0,0,0,0,0,2,29,29.6,33.1,26.0,8.9,78,16798,348433,33073,16275
166,111,5,1,True,2020-12-12T20:00:00Z,1,0,12,89,0,0,1,0,0,0,0,1,0,0,0,4,17.2,2.7,53.0,7.3,78,-14787,330995,11741,26528
166,123,9,8,False,2020-12-16T18:00:00Z,0,2,13,90,1,0,1,0,0,0,0,0,0,0,2,28,39.4,3.1,9.0,5.2,78,-10054,322665,5675,15729
166,133,1,2,True,2020-12-19T17:30:00Z,2,1,14,90,0,0,0,1,0,0,0,0,0,0,0,4,3.6,3.3,6.0,1.3,78,20903,346508,27795,6892
166,146,15,0,False,2020-12-26T20:00:00Z,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,78,-21250,325375,18661,39911
166,163,19,2,True,2021-01-01T17:30:00Z,0,1,17,90,0,0,0,1,0,0,0,0,0,0,0,8,9.6,20.8,20.0,5.0,78,3990,298967,15305,11315
166,176,20,1,False,2021-01-12T20:15:00Z,1,2,18,14,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0.3,0.0,0.2,78,8319,326414,29716,21397
166,191,9,2,True,2021-01-27T20:15:00Z,1,1,20,90,0,0,0,1,0,0,0,0,0,0,0,-3,8.6,0.9,24.0,3.4,78,13156,327505,29321,16165
166,203,14,2,True,2021-01-30T12:30:00Z,0,2,21,90,0,0,0,2,0,0,0,0,0,0,0,7,14.0,14.0,25.0,5.3,78,42717,372154,53463,10746
166,212,10,2,False,2021-02-03T19:30:00Z,1,2,22,79,0,0,0,1,0,0,0,0,0,0,0,7,4.8,1.7,1.0,0.8,78,-8533,363739,13109,21642
