element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
275,18,20,0,False,2020-09-21T19:15:00Z,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,85,19355,151442,43778,24423
275,24,9,12,True,2020-09-27T15:30:00Z,2,5,3,90,1,1,0,5,0,0,0,0,0,0,2,39,52.4,42.9,30.0,12.5,85,-31344,125375,20978,52322
275,33,10,2,False,2020-10-03T16:30:00Z,1,1,4,76,0,0,0,1,0,0,0,0,0,0,0,6,3.0,29.8,5.0,3.8,85,220611,374253,253434,32823
275,44,1,3,True,2020-10-17T16:30:00Z,1,0,5,90,0,0,1,0,0,0,0,0,0,0,0,8,7.2,15.8,70.0,9.3,85,-65148,309895,70506,135654
275,57,19,2,False,2020-10-24T11:30:00Z,1,1,6,90,0,0,0,1,0,0,0,0,0,0,0,11,14.6,31.5,72.0,11.8,85,-29027,284854,36043,65070
275,66,15,3,False,2020-10-31T12:30:00Z,0,1,7,84,0,0,1,0,0,0,0,0,0,0,0,10,9.8,20.1,25.0,5.5,84,-41126,247155,18923,60049
275,75,11,0,True,2020-11-08T16:30:00Z,1,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,83,-47567,200715,8729,56296
275,87,17,2,False,2020-11-21T17:30:00Z,2,0,9,71,0,0,0,2,0,0,0,0,0,0,0,7,9.0,43.5,25.0,7.8,82,-37388,166412,8099,45487
275,95,4,21,True,2020-11-28T15:00:00Z,5,0,10,90,3,0,1,0,0,0,0,0,0,0,3,73,118.4,75.6,101.0,29.5,82,7246,178758,24398,17152
275,104,8,4,True,2020-12-05T15:00:00Z,2,0,11,90,0,0,1,0,0,0,0,0,0,0,1,28,17.4,53.9,26.0,9.7,84,520898,766741,532082,11184
275,115,13,3,False,2020-12-12T17:30:00Z,0,0,12,65,0,0,1,0,0,0,0,0,0,0,0,6,6.8,15.3,19.0,4.1,84,-39500,664337,113826,153326
275,128,18,0,True,2020-12-15T20:00:00Z,1,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,84,121883,800296,195542,73659
275,136,16,1,False,2020-12-19T15:00:00Z,0,1,14,18,0,0,0,0,0,0,0,0,0,0,0,-5,0.0,1.3,14.0,1.4,84,-143955,652938,39959,183914
275,145,14,0,True,2020-12-26T20:00:00Z,2,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,83,-160171,497052,39576,199747
275,161,5,1,False,2021-01-03T16:30:00Z,1,3,17,4,0,0,0,1,0,0,0,0,0,0,0,3,0.0,0.5,0.0,0.1,82,-82629,319413,8782,91411
275,178,3,3,True,2021-01-13T18:00:00Z,1,0,18,66,0,0,1,0,0,0,0,0,0,0,0,8,7.2,41.9,8.0,5.7,81,-19410,317914,36888,56298
275,185,6,0,True,2021-01-17T19:15:00Z,4,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,81,-29133,272796,14713,43846
275,380,2,1,True,2021-01-20T18:00:00Z,2,0,19,18,0,0,0,0,0,0,0,0,0,0,0,5,4.2,18.8,6.0,2.9,81,-29133,272796,14713,43846
275,193,18,12,False,2021-01-26T20:15:00Z,0,5,20,90,1,1,1,0,0,0,0,0,0,0,1,43,57.0,33.2,52.0,14.2,81,-25681,253865,21841,47522
275,205,15,0,True,2021-01-30T15:00:00Z,1,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,81,37592,293909,50743,13151
275,210,4,3,False,2021-02-03T18:00:00Z,0,2,22,90,0,0,1,0,0,0,0,0,0,0,0,13,7.4,31.1,18.0,5.7,81,10161,304805,39731,29570
