element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
95,14,9,1,False,2020-09-20T18:00:00Z,4,2,2,39,0,0,0,1,0,0,0,0,0,0,0,4,7.2,0.3,17.0,2.5,50,-260,4930,373,633
95,20,16,0,True,2020-09-26T19:00:00Z,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-1105,3913,186,1291
95,36,14,0,False,2020-10-03T19:00:00Z,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-805,3161,33,838
95,48,18,1,False,2020-10-19T16:30:00Z,0,0,5,21,0,0,0,0,0,0,0,0,0,0,0,3,0.0,2.2,0.0,0.2,50,-177,3250,146,323
95,52,17,0,True,2020-10-26T20:00:00Z,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-61,3296,129,190
95,60,5,1,True,2020-10-31T15:00:00Z,0,3,7,17,0,0,0,0,0,0,0,0,0,0,0,1,2.4,0.8,2.0,0.5,50,-114,3289,104,218
95,70,3,3,False,2020-11-06T17:30:00Z,0,0,8,90,0,0,1,0,0,0,0,0,0,0,0,16,14.2,2.4,4.0,2.1,50,-89,3300,114,203
95,80,6,1,True,2020-11-23T17:30:00Z,1,0,9,16,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.1,0.0,0.0,50,-112,3293,131,243
95,95,12,0,False,2020-11-28T15:00:00Z,5,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-172,3121,29,201
95,101,7,10,True,2020-12-05T12:30:00Z,1,1,11,85,1,0,0,1,0,0,0,0,0,0,3,33,46.8,20.4,27.0,9.4,50,-174,2956,30,204
95,109,1,2,False,2020-12-13T19:15:00Z,0,1,12,90,0,0,1,0,0,0,0,1,0,0,0,12,20.8,30.3,2.0,5.3,50,1451,4690,1694,243
95,120,2,2,False,2020-12-17T18:00:00Z,0,0,13,90,0,0,1,0,0,0,0,1,0,0,0,5,10.8,0.5,16.0,2.7,50,184,4816,474,290
95,130,20,3,True,2020-12-21T17:30:00Z,2,1,14,68,0,0,1,0,0,0,0,0,0,0,0,11,6.8,16.7,8.0,3.2,50,138,5012,468,330
95,142,10,0,False,2020-12-27T12:00:00Z,1,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-264,4795,420,684
95,150,15,6,True,2020-12-29T18:00:00Z,1,0,16,90,0,1,1,0,0,0,0,0,0,0,0,18,19.0,29.6,1.0,5.0,50,-352,4449,66,418
95,379,13,3,True,2021-01-12T20:15:00Z,0,1,18,64,0,0,1,0,0,0,0,0,0,0,0,7,4.6,1.1,12.0,1.8,50,1566,10196,3322,1756
95,187,19,2,False,2021-01-16T15:00:00Z,1,0,19,90,0,0,0,1,0,0,0,0,0,0,0,15,16.2,17.8,30.0,6.4,50,-25,8927,1305,1330
95,177,11,3,False,2021-01-21T20:00:00Z,0,1,19,64,0,0,1,0,0,0,0,0,0,0,0,7,4.8,4.2,17.0,2.6,50,-25,8927,1305,1330
95,190,2,1,True,2021-01-27T18:00:00Z,3,2,20,59,0,0,0,1,0,0,0,0,0,0,0,5,2.6,1.7,23.0,2.7,50,-1078,7785,451,1529
95,201,5,2,False,2021-01-31T12:00:00Z,2,0,21,75,0,0,0,1,0,0,0,0,0,0,0,7,5.6,1.2,4.0,1.1,50,-1051,6756,110,1161
95,210,12,0,True,2021-02-03T18:00:00Z,0,2,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-464,6350,158,622
95,220,3,0,True,2021-02-06T15:00:00Z,1,1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-857,5491,29,886
95,232,6,1,False,2021-02-13T15:00:00Z,0,3,24,18,0,0,0,0,0,0,0,0,0,0,0,5,6.2,0.9,0.0,0.7,50,-607,4862,46,653
95,160,8,0,True,2021-02-17T18:00:00Z,1,1,24,25,0,0,0,1,0,0,0,1,0,0,0,-4,0.0,1.9,4.0,0.0,50,-607,4862,46,653
95,242,18,0,True,2021-02-20T15:00:00Z,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-228,4715,112,340
95,257,17,0,False,2021-02-28T14:00:00Z,4,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-307,4391,26,333
95,280,9,0,True,2021-03-03T18:00:00Z,1,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-307,4391,26,333
95,261,1,1,True,2021-03-06T12:30:00Z,1,1,27,22,0,0,0,0,0,0,0,0,0,0,0,5,2.0,1.5,0.0,0.4,50,-116,4300,37,153
95,271,7,1,False,2021-03-13T17:30:00Z,1,2,28,24,0,0,0,0,0,0,0,0,0,0,0,4,4.2,0.3,1.0,0.6,50,13,4358,106,93
