element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
597,67,17,1,False,2020-11-01T19:15:00Z,2,1,7,90,0,0,0,2,0,0,0,0,0,2,0,12,19.0,0.0,0.0,1.9,45,0,0,0,0
597,70,4,0,True,2020-11-06T17:30:00Z,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,1024,1558,1203,179
597,79,2,0,False,2020-11-21T15:00:00Z,1,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-327,1291,146,473
597,90,11,0,True,2020-11-28T12:30:00Z,1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,250,1764,523,273
597,100,16,0,True,2020-12-07T20:00:00Z,1,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,179,2069,493,314
597,114,9,0,False,2020-12-13T19:15:00Z,3,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-41,2051,153,194
597,121,8,9,False,2020-12-16T20:00:00Z,0,0,13,90,0,0,1,0,0,0,0,0,0,4,2,29,37.0,0.0,0.0,3.7,44,-90,2024,71,161
597,129,15,2,True,2020-12-20T12:00:00Z,1,1,14,90,0,0,0,1,0,0,0,0,0,2,0,16,12.6,0.0,0.0,1.3,44,13606,16321,14023,417
597,147,19,1,False,2020-12-27T14:15:00Z,2,2,15,90,0,0,0,2,0,0,0,0,0,2,0,14,21.2,0.0,0.0,2.1,44,10053,26981,12414,2361
597,149,1,2,True,2020-12-29T18:00:00Z,0,1,16,90,0,0,0,1,0,0,0,0,0,2,0,13,19.6,0.0,0.0,2.0,44,6047,33161,8919,2872
597,159,20,1,True,2021-01-02T17:30:00Z,3,3,17,90,0,0,0,3,0,0,0,0,0,2,0,18,18.0,0.0,0.0,1.8,44,12160,45818,16449,4289
597,178,12,3,False,2021-01-13T18:00:00Z,1,0,18,90,0,0,0,1,0,0,0,0,0,5,0,13,33.2,0.0,0.0,3.3,44,10458,83304,19892,9434
597,182,10,7,False,2021-01-16T15:00:00Z,0,1,19,90,0,0,1,0,0,0,0,0,0,2,1,25,19.4,0.0,0.0,1.9,44,10793,65931,21265,10472
597,189,8,6,True,2021-01-27T19:30:00Z,0,0,20,90,0,0,1,0,0,0,0,0,0,2,0,24,19.0,0.0,0.0,1.9,44,25596,94469,35121,9525
597,200,17,8,True,2021-01-31T19:15:00Z,1,0,21,90,0,0,1,0,0,0,0,0,0,4,1,29,27.6,0.0,0.0,2.8,44,8166,102778,14231,6065
597,216,11,7,False,2021-02-03T20:15:00Z,0,1,22,90,0,0,1,0,0,0,0,0,0,1,1,26,8.6,0.0,0.0,0.9,44,13185,117088,17026,3841
