element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
249,3,10,1,True,2020-09-12T16:30:00Z,4,3,1,90,0,0,0,3,0,0,0,1,0,0,0,10,5.8,7.2,38.0,5.1,95,0,248434,0,0
249,11,5,5,False,2020-09-20T15:30:00Z,0,2,2,85,0,1,1,0,0,0,0,0,0,0,0,21,23.4,35.3,48.0,10.7,94,-59165,222969,10158,69323
249,23,1,2,True,2020-09-28T19:00:00Z,3,1,3,90,0,0,0,1,0,0,0,0,0,0,0,12,9.0,24.4,22.0,5.5,94,-28847,210870,13596,42443
249,30,2,5,False,2020-10-04T18:15:00Z,7,2,4,67,0,1,0,6,0,0,0,0,0,0,0,20,26.6,22.3,42.0,9.1,94,-16123,204773,18066,34189
249,41,7,2,False,2020-10-17T11:30:00Z,2,2,5,77,0,0,0,1,0,0,0,0,0,0,0,8,5.2,28.8,28.0,6.2,93,-15457,199223,14846,30303
249,54,15,9,True,2020-10-24T19:00:00Z,2,1,6,82,1,0,0,1,0,0,0,0,0,0,3,37,36.0,5.6,61.0,10.3,93,-13487,190454,11983,25470
249,63,19,2,True,2020-10-31T17:30:00Z,2,1,7,69,0,0,0,1,0,0,0,0,0,0,0,6,1.0,4.3,8.0,1.3,93,-3241,191798,9152,12393
249,75,12,1,False,2020-11-08T16:30:00Z,1,1,8,58,0,0,0,1,0,0,0,0,0,0,0,1,0.0,1.3,18.0,1.9,92,-19985,173034,3062,23047
249,83,9,6,True,2020-11-22T19:15:00Z,3,0,9,90,1,0,1,0,0,0,0,0,0,0,0,23,40.8,14.6,110.0,16.5,92,-10384,166537,4910,15294
249,90,3,2,False,2020-11-28T12:30:00Z,1,1,10,90,0,0,0,1,0,0,0,0,0,0,0,2,6.6,6.3,30.0,4.3,92,3321,173092,9446,6125
249,103,20,2,True,2020-12-06T19:15:00Z,4,0,11,72,0,0,1,0,0,0,0,0,0,0,0,9,1.8,3.4,4.0,0.9,92,-1862,172827,8725,10587
249,112,8,2,False,2020-12-13T16:30:00Z,1,1,12,90,0,0,0,1,0,0,0,0,0,0,0,13,19.0,25.5,19.0,6.4,92,-2179,172561,8162,10341
249,127,17,9,True,2020-12-16T20:00:00Z,2,1,13,90,1,0,0,1,0,0,0,0,0,0,3,40,50.8,25.0,94.0,17.0,92,-6102,167066,2749,8851
249,132,6,16,False,2020-12-19T12:30:00Z,0,7,14,74,2,1,1,0,0,0,0,0,0,0,3,65,87.0,11.8,34.0,13.3,92,19790,189554,23742,3952
249,144,18,2,True,2020-12-27T16:30:00Z,1,1,15,89,0,0,0,1,0,0,0,0,0,0,0,3,5.4,10.3,43.0,5.9,93,191422,398837,201664,10242
249,155,14,2,False,2020-12-30T20:00:00Z,0,0,16,90,0,0,1,0,0,0,0,0,0,0,0,9,15.4,16.7,49.0,8.1,93,-3762,387249,35416,39178
249,166,16,2,False,2021-01-04T20:00:00Z,1,0,17,90,0,0,0,1,0,0,0,0,0,0,0,8,4.6,13.7,26.0,4.4,93,-23880,366674,26722,50602
249,184,13,2,True,2021-01-17T16:30:00Z,0,0,19,84,0,0,1,0,0,0,0,0,0,0,0,11,15.0,26.3,95.0,13.6,93,74161,418137,105740,31579
249,177,4,1,True,2021-01-21T20:00:00Z,0,1,19,33,0,0,0,1,0,0,0,0,0,0,0,1,0.0,2.2,28.0,2.7,93,74161,418137,105740,31579
249,198,17,7,False,2021-01-28T20:00:00Z,1,3,20,86,1,0,0,1,0,0,0,0,0,0,1,33,42.4,38.0,54.0,13.4,93,-49410,347315,26275,75685
249,208,19,4,False,2021-01-31T16:30:00Z,1,3,21,21,0,1,0,1,0,0,0,0,0,0,0,15,19.6,13.5,2.0,3.5,94,184640,539192,205875,21235
249,216,3,2,True,2021-02-03T20:15:00Z,0,1,22,78,0,0,0,1,0,0,0,0,0,0,0,10,4.0,4.6,45.0,5.4,95,137035,678676,165810,28775
249,223,12,2,True,2021-02-07T16:30:00Z,1,4,23,90,0,0,0,4,0,0,0,0,0,0,0,8,7.4,17.8,21.0,4.6,94,-119394,558842,21497,140891
249,234,9,5,False,2021-02-13T12:30:00Z,3,1,24,90,0,1,0,3,0,0,0,0,0,0,0,21,33.4,26.2,124.0,18.4,93,-126440,431647,12996,139436
