element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
413,5,9,2,True,2020-09-13T13:00:00Z,0,3,1,68,0,0,0,1,0,0,0,0,0,0,0,4,0.0,1.6,0.0,0.2,50,0,3307,0,0
413,12,7,2,False,2020-09-19T11:30:00Z,5,2,2,74,0,0,0,5,0,0,0,0,0,0,0,10,16.4,1.1,0.0,1.8,50,-396,3391,112,508
413,27,5,2,True,2020-09-26T16:30:00Z,3,3,3,90,0,0,0,3,0,0,0,0,0,0,0,12,11.4,11.9,1.0,2.4,50,-445,3222,142,587
413,37,16,2,False,2020-10-04T11:00:00Z,2,0,4,63,0,0,0,1,0,0,0,0,0,0,0,8,5.4,11.7,0.0,1.7,50,-108,3323,304,412
413,48,4,1,True,2020-10-19T16:30:00Z,0,0,5,11,0,0,0,0,0,0,0,0,0,0,0,1,0.6,0.3,1.0,0.2,49,-287,3135,211,498
413,51,3,0,False,2020-10-26T17:30:00Z,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-232,2961,76,308
413,61,8,0,False,2020-11-02T17:30:00Z,2,0,7,34,0,0,0,0,0,0,0,1,0,0,0,-1,4.4,10.8,0.0,1.5,49,-204,2808,47,251
413,77,17,0,True,2020-11-08T12:00:00Z,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-211,2637,27,238
413,84,13,2,False,2020-11-21T20:00:00Z,1,0,9,90,0,0,0,1,0,0,0,0,0,0,0,18,17.8,1.8,0.0,2.0,48,-202,2494,40,242
413,97,15,3,True,2020-11-28T20:00:00Z,1,0,10,90,0,0,1,0,0,0,0,0,0,0,0,13,12.8,2.0,0.0,1.5,48,32,2576,167,135
413,107,6,1,True,2020-12-06T12:00:00Z,1,5,11,79,0,0,0,4,0,0,0,1,0,0,0,8,5.4,3.5,2.0,1.1,48,-48,2566,174,222
413,116,14,2,False,2020-12-12T15:00:00Z,2,1,12,90,0,0,0,2,0,0,0,0,0,0,0,12,11.4,14.0,0.0,2.5,48,-39,2546,103,142
413,128,12,2,False,2020-12-15T20:00:00Z,1,1,13,90,0,0,0,1,0,0,0,0,0,0,0,10,4.6,0.8,0.0,0.5,48,40,2611,169,129
413,138,2,2,True,2020-12-20T19:15:00Z,0,3,14,90,0,0,0,3,0,0,0,0,0,0,0,16,12.6,5.4,0.0,1.8,48,-75,2558,84,159
413,144,11,2,False,2020-12-27T16:30:00Z,1,1,15,90,0,0,0,1,0,0,0,0,0,0,0,19,13.6,14.6,8.0,3.6,48,1,2593,128,127
413,158,10,0,True,2020-12-29T18:00:00Z,0,5,16,90,0,0,0,5,1,0,0,0,0,0,0,1,0.0,1.2,0.0,0.0,48,63,2673,151,88
413,168,1,2,True,2021-01-02T20:00:00Z,0,4,17,90,0,0,0,4,0,0,0,0,0,0,0,17,15.4,4.8,0.0,2.0,48,-54,2636,83,137
413,188,20,2,False,2021-01-16T12:30:00Z,2,3,19,90,0,0,0,2,0,0,0,0,0,0,0,10,5.6,11.5,1.0,1.8,48,141,2804,274,133
413,175,19,2,False,2021-01-19T18:00:00Z,2,1,19,90,0,0,0,2,0,0,0,0,0,0,0,17,8.6,2.3,0.0,1.1,48,141,2804,274,133
413,193,12,2,True,2021-01-26T20:15:00Z,0,5,20,90,0,0,0,5,0,0,0,0,0,0,0,10,3.8,1.8,0.0,0.6,48,-53,2695,139,192
413,207,8,0,True,2021-01-30T15:00:00Z,2,2,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,47,-56,2644,120,176
413,214,15,0,False,2021-02-02T18:00:00Z,2,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,47,-108,2558,43,151
413,227,17,2,False,2021-02-07T12:00:00Z,2,0,23,77,0,0,0,2,0,0,0,0,0,0,0,11,2.6,1.3,0.0,0.4,47,-106,2470,24,130
413,237,13,0,True,2021-02-14T14:00:00Z,1,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,47,-66,2420,34,100
413,242,4,0,False,2021-02-20T15:00:00Z,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,47,-38,2400,32,70
413,258,3,0,True,2021-02-27T15:00:00Z,1,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,46,-5,2418,88,93
413,287,7,0,True,2021-03-04T18:00:00Z,0,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,46,-5,2418,88,93
413,267,14,0,True,2021-03-07T12:00:00Z,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,46,-14,2419,54,68
413,270,6,0,False,2021-03-13T15:00:00Z,1,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,46,0,2428,54,54
