element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
362,1,6,2,False,2020-09-12T14:00:00Z,1,0,1,90,0,0,0,1,0,0,0,0,0,0,0,15,16.8,18.5,2.0,3.7,50,0,87171,0,0
362,17,17,-1,True,2020-09-20T11:00:00Z,2,5,2,90,0,0,0,5,0,0,0,1,0,0,0,7,5.4,2.8,4.0,1.2,50,-8986,88465,2873,11859
362,20,4,8,False,2020-09-26T19:00:00Z,0,1,3,90,0,0,1,0,0,0,0,0,0,0,2,28,19.0,32.3,2.0,5.3,50,-10378,80480,3818,14196
362,37,18,6,True,2020-10-04T11:00:00Z,2,0,4,90,0,0,1,0,0,0,0,0,0,0,0,20,13.4,12.7,23.0,4.9,50,8694,94806,14565,5871
362,39,5,1,False,2020-10-17T14:00:00Z,3,3,5,90,0,0,0,3,0,0,0,0,0,0,0,5,6.4,2.7,2.0,1.1,50,-28,95509,8793,8821
362,56,7,6,True,2020-10-25T14:00:00Z,2,0,6,90,0,0,1,0,0,0,0,0,0,0,0,25,11.0,36.9,4.0,5.2,50,-2293,94027,4720,7013
362,59,2,2,False,2020-11-01T12:00:00Z,3,4,7,78,0,0,0,1,0,0,0,0,0,0,0,6,3.2,11.4,2.0,1.7,50,7876,104007,11280,3404
362,76,14,0,True,2020-11-06T20:00:00Z,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-16293,86255,1628,17921
362,88,20,2,False,2020-11-23T20:00:00Z,1,1,9,90,0,0,0,1,0,0,0,0,0,0,0,12,14.2,9.3,2.0,2.6,50,-14034,72167,321,14355
362,96,13,1,True,2020-11-29T14:00:00Z,2,3,10,90,0,0,0,3,0,0,0,0,0,0,0,10,11.8,1.2,3.0,1.6,50,-1341,72387,1826,3167
362,100,3,2,False,2020-12-07T20:00:00Z,1,2,11,90,0,0,0,1,0,0,0,0,0,0,0,13,6.6,10.8,2.0,1.9,50,2958,76545,5526,2568
362,117,15,6,True,2020-12-13T12:00:00Z,3,0,12,90,0,0,1,0,0,0,0,0,0,0,0,26,11.6,6.8,0.0,1.8,50,297,76907,3344,3047
362,119,1,1,False,2020-12-16T18:00:00Z,1,1,13,90,0,0,0,1,0,0,0,1,0,0,0,5,6.4,6.1,5.0,1.8,50,983,78050,3422,2439
362,136,12,2,True,2020-12-19T15:00:00Z,0,1,14,90,0,0,0,1,0,0,0,0,0,0,0,6,9.2,1.9,2.0,1.3,50,-1047,77191,2457,3504
362,141,8,6,False,2020-12-26T15:00:00Z,0,0,15,90,0,0,1,0,0,0,0,0,0,0,0,18,20.4,0.8,0.0,2.1,50,5417,83858,8883,3466
362,156,19,5,True,2020-12-29T18:00:00Z,0,0,16,90,0,0,1,0,0,0,0,1,0,0,0,15,0.0,3.8,3.0,0.5,50,5188,89351,7788,2600
362,166,11,5,True,2021-01-04T20:00:00Z,1,0,17,90,0,0,1,0,0,0,0,1,0,0,0,25,13.6,0.3,0.0,1.4,50,-1151,88136,4121,5272
362,183,9,0,False,2021-01-16T20:00:00Z,2,0,19,90,0,0,0,2,0,0,0,1,0,0,0,10,13.2,3.8,23.0,4.0,50,-2889,82287,2321,5210
362,197,1,0,True,2021-01-26T20:15:00Z,1,3,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-16765,66056,325,17090
362,206,2,2,True,2021-01-30T20:00:00Z,0,1,21,90,0,0,0,1,0,0,0,0,0,0,0,13,20.0,10.5,26.0,5.7,50,-966,65667,1381,2347
362,213,13,-2,False,2021-02-02T20:15:00Z,9,0,22,90,0,0,0,9,0,0,0,0,0,0,0,9,11.4,0.6,0.0,1.2,50,-119,65753,1546,1665
