element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
507,6,19,0,False,2020-09-12T19:00:00Z,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,60,0,65008,0,0
507,16,3,1,True,2020-09-20T13:00:00Z,0,3,2,57,0,0,0,1,0,0,0,0,0,0,0,3,4.6,2.3,2.0,0.9,60,-10853,59692,6621,17474
507,26,17,0,False,2020-09-27T13:00:00Z,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,60,-18454,42093,2181,20635
507,36,4,4,True,2020-10-03T19:00:00Z,3,1,4,17,0,1,0,0,0,0,0,0,0,0,0,10,0.0,1.0,3.0,0.3,59,-11518,31500,803,12321
507,45,13,1,True,2020-10-17T19:00:00Z,1,4,5,18,0,0,0,3,0,0,0,0,0,0,0,3,0.0,0.0,2.0,0.2,58,-4397,27898,1159,5556
507,58,20,3,False,2020-10-25T16:30:00Z,1,1,6,77,0,0,1,0,0,0,0,0,0,0,0,6,4.4,1.2,0.0,0.6,58,-3509,24667,450,3959
507,65,7,4,True,2020-11-01T14:00:00Z,2,1,7,16,0,1,0,1,0,0,0,0,0,0,0,12,1.2,4.3,4.0,1.0,58,-1706,23264,485,2191
507,76,16,0,False,2020-11-06T20:00:00Z,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,57,-423,23192,1242,1665
507,85,5,0,True,2020-11-21T12:30:00Z,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,57,-4271,18679,256,4527
507,92,6,0,False,2020-11-27T20:00:00Z,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,57,-2403,16496,52,2455
507,116,18,0,True,2020-12-12T15:00:00Z,2,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,56,-594,14382,75,669
507,122,10,5,False,2020-12-16T18:00:00Z,5,2,13,75,0,1,0,2,0,0,0,0,0,0,0,22,28.6,44.2,19.0,9.2,56,-353,14056,61,414
507,135,8,1,True,2020-12-19T20:00:00Z,1,1,14,11,0,0,0,0,0,0,0,0,0,0,0,3,1.2,1.6,0.0,0.3,56,1458,15676,1810,352
507,145,12,0,False,2020-12-26T20:00:00Z,2,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,56,-902,14790,236,1138
507,155,11,0,True,2020-12-30T20:00:00Z,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,56,-610,14206,21,631
507,165,9,0,True,2021-01-03T14:15:00Z,1,2,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,56,-590,13637,20,610
507,174,15,-2,False,2021-01-12T18:00:00Z,1,0,18,44,0,0,0,1,0,0,0,0,1,0,0,-7,0.0,17.0,0.0,1.3,56,-458,13125,62,520
507,179,1,0,False,2021-01-18T20:00:00Z,3,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,56,-321,12858,10,331
507,99,2,1,False,2021-01-23T20:00:00Z,2,0,19,19,0,0,0,0,0,0,0,0,0,0,0,3,0.8,0.9,18.0,2.0,56,-321,12858,10,331
507,196,10,2,True,2021-01-26T18:00:00Z,1,2,20,76,0,0,0,2,0,0,0,0,0,0,0,5,3.2,25.8,12.0,4.1,56,-79,12856,209,288
507,203,7,3,False,2021-01-30T12:30:00Z,0,2,21,66,0,0,1,0,0,0,0,0,0,0,0,17,10.0,44.5,2.0,5.7,56,-138,12750,106,244
507,217,6,2,True,2021-02-02T20:15:00Z,1,2,22,90,0,0,0,2,0,0,0,0,0,0,0,23,33.6,111.7,36.0,18.1,56,-134,12657,101,235
507,225,16,0,True,2021-02-06T15:00:00Z,3,2,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,56,255,12977,491,236
507,231,5,1,False,2021-02-15T20:00:00Z,2,0,24,18,0,0,0,0,0,0,0,0,0,0,0,6,6.0,28.5,0.0,3.5,56,-368,12657,61,429
