element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
466,8,15,1,False,2020-09-14T17:00:00Z,0,2,1,14,0,0,0,0,0,0,0,0,0,0,0,4,5.6,10.3,0.0,1.6,55,0,158296,0,0
466,18,12,2,True,2020-09-21T19:15:00Z,1,3,2,90,0,0,0,3,0,0,0,0,0,0,0,15,13.0,11.6,26.0,5.1,55,-19607,156296,6268,25875
466,28,19,2,False,2020-09-27T18:00:00Z,4,0,3,90,0,0,0,4,0,0,0,0,0,0,0,18,21.0,7.0,16.0,4.4,55,-15438,147330,7587,23025
466,38,8,2,True,2020-10-04T13:00:00Z,1,0,4,90,0,0,1,0,0,0,0,1,0,0,0,7,8.2,2.7,9.0,2.0,54,-5498,146123,9875,15373
466,42,10,1,False,2020-10-19T19:00:00Z,0,1,5,8,0,0,0,0,0,0,0,0,0,0,0,4,4.6,0.0,26.0,3.1,54,-15641,131894,3537,19178
466,58,14,3,True,2020-10-25T16:30:00Z,1,1,6,82,0,0,1,0,0,0,0,0,0,0,0,11,12.2,25.8,2.0,4.0,54,-10961,122290,1811,12772
466,68,6,3,True,2020-10-30T20:00:00Z,2,0,7,90,0,0,1,0,0,0,0,0,0,0,0,19,19.8,44.4,19.0,8.3,53,-6456,117251,2163,8619
466,74,9,1,False,2020-11-08T14:00:00Z,1,0,8,90,0,0,0,1,0,0,0,1,0,0,0,15,18.8,13.8,16.0,4.9,53,-5451,112339,2166,7617
466,88,16,1,True,2020-11-23T20:00:00Z,1,1,9,69,0,0,0,1,0,0,0,1,0,0,0,11,11.2,11.8,0.0,2.3,53,-5731,107256,2272,8003
466,89,1,1,False,2020-11-29T19:15:00Z,1,2,10,20,0,0,0,0,0,0,0,0,0,0,0,5,11.4,0.3,0.0,1.2,53,-3873,103930,1298,5171
466,103,11,2,False,2020-12-06T19:15:00Z,4,0,11,61,0,0,0,2,0,0,0,0,0,0,0,7,3.8,1.2,1.0,0.6,52,-5271,98823,1465,6736
466,118,2,1,True,2020-12-12T12:30:00Z,0,1,12,10,0,0,0,1,0,0,0,0,0,0,0,3,0.8,0.2,0.0,0.1,52,-2543,96902,1773,4316
466,126,5,2,True,2020-12-15T18:00:00Z,2,1,13,90,0,0,0,1,0,0,0,0,0,0,0,14,21.2,14.3,7.0,4.3,52,-2260,94857,1321,3581
466,130,4,2,False,2020-12-21T17:30:00Z,2,1,14,75,0,0,0,2,0,0,0,0,0,0,0,12,14.4,32.5,34.0,8.1,52,-1242,93940,1900,3142
466,148,17,2,True,2020-12-27T19:15:00Z,1,1,15,90,0,0,0,1,0,0,0,0,0,0,0,20,26.8,25.9,15.0,6.8,52,-1663,92621,2318,3981
466,154,13,2,False,2020-12-29T20:00:00Z,1,0,16,90,0,0,0,1,0,0,0,0,0,0,0,16,37.8,16.5,7.0,6.1,52,-1266,91623,949,2215
466,159,3,10,False,2021-01-02T17:30:00Z,3,3,17,90,1,0,0,3,0,0,0,0,0,0,3,32,49.4,11.7,27.0,8.8,52,-721,91261,1863,2584
466,176,7,7,True,2021-01-12T20:15:00Z,1,2,18,90,1,0,0,2,0,0,0,0,0,0,0,29,53.8,14.6,26.0,9.4,52,10968,122973,17166,6198
466,188,18,1,True,2021-01-16T12:30:00Z,2,3,19,59,0,0,0,3,0,0,0,0,0,0,0,11,1.8,0.8,9.0,1.2,52,12024,115926,18462,6438
466,194,5,3,False,2021-01-27T18:00:00Z,0,0,20,90,0,0,1,0,0,0,0,0,0,0,0,11,14.0,0.4,1.0,1.5,52,-12142,103500,2521,14663
466,202,6,0,False,2021-01-30T15:00:00Z,1,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,52,-3900,100228,2279,6179
466,215,1,7,True,2021-02-02T18:00:00Z,2,1,22,73,1,0,0,1,0,0,0,1,0,0,1,28,40.6,2.8,24.0,6.7,51,-3840,96630,1330,5170
466,228,9,2,True,2021-02-07T14:00:00Z,0,0,23,90,0,0,1,0,0,0,0,1,0,0,0,16,16.8,16.3,21.0,5.4,51,601,97896,3190,2589
466,236,16,13,False,2021-02-14T12:00:00Z,1,2,24,90,1,1,0,1,0,0,0,0,0,0,3,37,60.4,12.0,24.0,9.6,51,-1189,96899,3058,4247
466,248,10,3,True,2021-02-19T20:00:00Z,1,0,25,90,0,0,1,0,0,0,0,0,0,0,0,11,11.8,1.8,1.0,1.5,51,10960,109486,14430,3470
466,255,14,10,False,2021-02-27T20:00:00Z,1,1,26,90,1,0,0,1,0,0,0,0,0,0,3,30,52.4,24.0,31.0,10.7,51,9693,120705,17700,8007
466,284,12,2,False,2021-03-02T20:00:00Z,4,1,26,89,0,0,0,2,0,0,0,0,0,0,0,14,9.8,1.1,0.0,1.1,51,9693,120705,17700,8007
466,259,2,3,False,2021-03-06T17:30:00Z,0,0,27,90,0,0,1,0,0,0,0,0,0,0,0,9,9.6,3.0,10.0,2.3,51,24848,147665,30744,5896
466,278,11,1,True,2021-03-15T20:00:00Z,0,1,28,75,0,0,0,1,0,0,0,1,0,0,0,8,22.6,1.4,13.0,3.7,51,16301,165716,28093,11792
