element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
556,33,10,2,False,2020-10-03T16:30:00Z,1,1,4,90,0,0,0,1,0,0,0,0,0,0,0,13,19.8,0.5,8.0,2.8,55,6169,7762,7019,850
556,44,1,5,True,2020-10-17T16:30:00Z,1,0,5,90,0,0,1,0,0,0,0,1,0,0,0,24,14.8,2.8,0.0,1.8,55,24210,39139,30281,6071
556,57,19,2,False,2020-10-24T11:30:00Z,1,1,6,90,0,0,0,1,0,0,0,0,0,0,0,18,22.2,1.8,2.0,2.6,55,50505,95913,56079,5574
556,66,15,6,False,2020-10-31T12:30:00Z,0,1,7,90,0,0,1,0,0,0,0,0,0,0,0,27,15.2,0.6,0.0,1.6,55,21735,119212,29272,7537
556,75,11,2,True,2020-11-08T16:30:00Z,1,1,8,90,0,0,0,1,0,0,0,0,0,0,0,13,17.2,0.7,0.0,1.8,55,5997,125470,16288,10291
556,87,17,0,False,2020-11-21T17:30:00Z,2,0,9,90,0,0,0,2,0,0,0,1,0,0,0,6,17.0,2.1,34.0,5.3,55,15602,145213,26083,10481
556,95,4,6,True,2020-11-28T15:00:00Z,5,0,10,69,0,0,1,0,0,0,0,0,0,0,0,24,17.0,1.1,4.0,2.2,55,34295,185849,44884,10589
556,104,8,6,True,2020-12-05T15:00:00Z,2,0,11,90,0,0,1,0,0,0,0,0,0,0,0,19,12.4,2.6,15.0,3.0,56,55514,248265,64375,8861
556,115,13,6,False,2020-12-12T17:30:00Z,0,0,12,90,0,0,1,0,0,0,0,0,0,0,0,25,13.0,0.8,0.0,1.4,56,6417,247154,20702,14285
556,128,18,0,True,2020-12-15T20:00:00Z,1,1,13,90,0,0,0,1,1,0,0,0,0,0,0,8,9.2,4.8,36.0,5.0,56,67661,322238,72958,5297
556,136,16,9,False,2020-12-19T15:00:00Z,0,1,14,90,0,0,1,0,0,0,0,0,0,0,3,28,21.0,0.8,0.0,2.2,56,-7120,311749,15844,22964
556,145,14,6,True,2020-12-26T20:00:00Z,2,0,15,90,0,0,1,0,0,0,0,0,0,0,0,26,17.2,2.3,4.0,2.4,57,163139,489796,175133,11994
556,161,5,2,False,2021-01-03T16:30:00Z,1,3,17,90,0,0,0,1,0,0,0,0,0,0,0,18,43.8,0.4,0.0,4.4,57,10239,548141,52415,42176
556,178,3,7,True,2021-01-13T18:00:00Z,1,0,18,90,0,0,1,0,0,0,0,0,0,0,1,30,24.6,2.7,2.0,2.9,58,157268,946169,202276,45008
556,185,6,11,True,2021-01-17T19:15:00Z,4,0,19,90,0,1,1,0,0,0,0,0,0,0,2,38,29.0,3.7,17.0,5.0,58,154332,891459,186853,32521
556,380,2,7,True,2021-01-20T18:00:00Z,2,0,19,90,0,0,1,0,0,0,0,0,0,0,1,29,26.6,0.7,35.0,6.2,58,154332,891459,186853,32521
556,193,18,6,False,2021-01-26T20:15:00Z,0,5,20,90,0,0,1,0,0,0,0,0,0,0,0,28,19.2,1.5,0.0,2.1,59,320265,1206458,351891,31626
556,205,15,8,True,2021-01-30T15:00:00Z,1,0,21,90,0,0,1,0,0,0,0,0,0,0,2,27,21.4,2.3,7.0,3.1,59,94881,1302119,140084,45203
556,210,4,6,False,2021-02-03T18:00:00Z,0,2,22,90,0,0,1,0,0,0,0,0,0,0,0,24,10.8,2.0,0.0,1.3,60,237705,1553531,252571,14866
