element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
251,3,10,2,True,2020-09-12T16:30:00Z,4,3,1,90,0,0,0,3,0,0,0,0,0,0,0,14,13.2,45.5,75.0,13.4,120,0,807314,0,0
251,11,5,16,False,2020-09-20T15:30:00Z,0,2,2,90,2,0,1,0,0,0,0,0,0,0,3,48,79.6,7.0,49.0,13.6,119,-256786,585445,12313,269099
251,23,1,7,True,2020-09-28T19:00:00Z,3,1,3,79,1,0,0,1,0,0,0,1,0,0,1,22,43.0,26.5,84.0,15.4,119,55243,704103,122337,67094
251,30,2,0,False,2020-10-04T18:15:00Z,7,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,119,-160742,557038,185786,346528
251,41,7,6,False,2020-10-17T11:30:00Z,2,2,5,90,1,0,0,2,0,0,0,1,0,0,0,18,46.2,28.3,57.0,13.2,119,-103546,463038,77042,180588
251,54,15,8,True,2020-10-24T19:00:00Z,2,1,6,90,0,2,0,1,0,0,0,0,0,0,0,22,24.0,30.0,35.0,8.9,120,157162,651187,180105,22943
251,63,19,2,True,2020-10-31T17:30:00Z,2,1,7,90,0,0,0,1,0,0,0,0,0,0,0,10,16.6,29.5,27.0,7.3,120,78735,734819,99064,20329
251,75,12,5,False,2020-11-08T16:30:00Z,1,1,8,90,0,1,0,1,0,0,0,0,0,0,0,12,6.6,12.3,12.0,3.1,120,-38091,693494,25243,63334
251,83,9,3,True,2020-11-22T19:15:00Z,3,0,9,88,0,0,1,0,0,0,0,0,0,0,0,-2,10.8,13.1,92.0,11.6,121,261318,992835,315799,54481
251,90,3,1,False,2020-11-28T12:30:00Z,1,1,10,26,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.2,0.0,0.0,121,-50495,920989,52876,103371
251,103,20,6,True,2020-12-06T19:15:00Z,4,0,11,90,0,1,1,0,0,0,0,0,0,0,0,14,4.2,15.8,49.0,6.9,120,-173800,739736,9582,183382
251,112,8,2,False,2020-12-13T16:30:00Z,1,1,12,90,0,0,0,1,0,0,0,0,0,0,0,0,1.0,2.8,10.0,1.4,120,-43976,715055,37854,81830
251,127,17,2,True,2020-12-16T20:00:00Z,2,1,13,90,0,0,0,1,0,0,0,0,0,0,0,0,11.8,26.8,66.0,10.5,119,-100410,610135,5798,106208
251,132,6,9,False,2020-12-19T12:30:00Z,0,7,14,56,1,1,0,0,0,0,0,0,0,0,0,31,52.2,11.3,41.0,10.5,119,-38831,576023,22367,61198
251,144,18,9,True,2020-12-27T16:30:00Z,1,1,15,90,1,0,0,1,0,0,0,0,0,0,2,28,41.4,15.0,65.0,12.1,119,16621,600387,56403,39782
251,155,14,3,False,2020-12-30T20:00:00Z,0,0,16,90,0,0,1,0,0,0,0,0,0,0,0,3,10.8,19.9,22.0,5.3,119,22987,623292,40708,17721
251,166,16,2,False,2021-01-04T20:00:00Z,1,0,17,90,0,0,0,1,0,0,0,0,0,0,0,6,22.8,29.3,94.0,14.6,119,-31,624281,33743,33774
251,184,13,3,True,2021-01-17T16:30:00Z,0,0,19,90,0,0,1,0,0,0,0,0,0,0,0,9,12.4,24.8,28.0,6.5,119,21570,590434,53013,31443
251,177,4,2,True,2021-01-21T20:00:00Z,0,1,19,90,0,0,0,1,0,0,0,0,0,0,0,21,24.8,102.0,50.0,17.7,119,21570,590434,53013,31443
251,198,17,15,False,2021-01-28T20:00:00Z,1,3,20,90,1,2,0,1,0,0,0,0,0,0,2,41,62.2,20.3,100.0,18.3,118,-18513,555815,37728,56241
251,208,19,0,False,2021-01-31T16:30:00Z,1,3,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,118,117267,679060,133579,16312
251,216,3,0,True,2021-02-03T20:15:00Z,0,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,119,-120422,554441,33770,154192
251,223,12,2,True,2021-02-07T16:30:00Z,1,4,23,90,0,0,0,4,0,0,0,0,0,0,0,2,5.6,13.2,27.0,4.6,119,-99687,455435,3267,102954
251,234,9,2,False,2021-02-13T12:30:00Z,3,1,24,90,0,0,0,3,0,0,0,0,0,0,0,13,10.0,27.3,46.0,8.3,119,-19946,437503,13156,33102
