element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
360,8,20,1,True,2020-09-14T17:00:00Z,0,2,1,14,0,0,0,0,0,0,0,0,0,0,0,7,8.6,18.0,0.0,2.7,50,0,10068,0,0
360,10,2,2,False,2020-09-21T17:00:00Z,1,0,2,90,0,0,0,1,0,0,0,0,0,0,0,10,8.0,0.7,26.0,3.5,50,-495,10578,1080,1575
360,25,10,2,True,2020-09-27T11:00:00Z,0,1,3,90,0,0,0,1,0,0,0,0,0,0,0,10,12.0,22.4,4.0,3.8,50,-161,11089,1686,1847
360,29,1,1,False,2020-10-04T13:00:00Z,2,1,4,90,0,0,0,2,0,0,0,1,0,0,0,8,10.4,4.6,2.0,1.7,50,-331,11153,1237,1568
360,46,8,2,True,2020-10-18T11:00:00Z,1,1,5,90,0,0,0,1,0,0,0,0,0,0,0,10,11.2,13.4,11.0,3.6,50,-691,10886,1028,1719
360,54,11,7,False,2020-10-24T19:00:00Z,2,1,6,90,1,0,0,2,0,0,0,1,0,0,1,30,48.8,25.4,31.0,10.5,50,-632,10337,603,1235
360,66,12,2,True,2020-10-31T12:30:00Z,0,1,7,90,0,0,0,1,0,0,0,0,0,0,0,11,11.0,16.3,22.0,4.9,50,1953,12880,3029,1076
360,71,5,4,False,2020-11-07T17:30:00Z,4,1,8,90,0,1,0,4,0,0,0,1,0,0,0,20,20.6,12.8,6.0,3.9,50,843,13881,2268,1425
360,86,19,2,True,2020-11-22T14:00:00Z,0,1,9,90,0,0,0,1,0,0,0,0,0,0,0,12,17.8,15.3,4.0,3.7,50,3320,17910,5783,2463
360,97,18,1,False,2020-11-28T20:00:00Z,1,0,10,90,0,0,0,1,0,0,0,1,0,0,0,15,18.2,25.2,10.0,5.3,50,1116,19089,2979,1863
360,105,9,2,True,2020-12-06T14:15:00Z,1,2,11,90,0,0,0,2,0,0,0,0,0,0,0,9,9.0,12.3,2.0,2.3,50,-1507,17499,1257,2764
360,117,16,2,False,2020-12-13T12:00:00Z,3,0,12,90,0,0,0,3,0,0,0,0,0,0,0,4,0.2,2.3,8.0,1.1,50,-1182,16430,716,1898
360,124,13,1,True,2020-12-17T20:00:00Z,2,3,13,11,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.2,0.0,0.0,50,-860,15662,444,1304
360,129,3,0,False,2020-12-20T12:00:00Z,1,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-1919,13789,221,2140
360,146,7,0,True,2020-12-26T20:00:00Z,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-3045,10730,64,3109
360,150,4,0,False,2020-12-29T18:00:00Z,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-911,9883,28,939
360,162,6,0,False,2021-01-02T15:00:00Z,2,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-744,9160,92,836
360,174,14,0,True,2021-01-12T18:00:00Z,1,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-796,8178,71,867
360,186,17,0,True,2021-01-17T14:00:00Z,1,3,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-357,8042,15,372
360,192,13,0,False,2021-01-27T20:15:00Z,1,2,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-167,7908,258,425
360,205,12,0,False,2021-01-30T15:00:00Z,1,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-391,7531,45,436
360,214,18,0,True,2021-02-02T18:00:00Z,2,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-150,7380,78,228
360,226,5,0,True,2021-02-07T19:15:00Z,1,2,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-232,7148,19,251
360,238,19,0,False,2021-02-15T18:00:00Z,3,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,115,7290,334,219
360,243,8,0,False,2021-02-20T20:00:00Z,1,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,23,7325,269,246
360,256,11,0,True,2021-02-28T19:15:00Z,0,2,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-361,6965,67,428
360,285,2,0,True,2021-03-03T18:00:00Z,1,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-361,6965,67,428
360,265,16,0,True,2021-03-06T15:00:00Z,0,2,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-45,6935,142,187
360,274,9,0,False,2021-03-14T14:00:00Z,5,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-145,6797,99,244
