element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
486,1,16,7,True,2020-09-12T14:00:00Z,1,0,1,90,0,0,1,0,0,0,0,0,0,0,1,24,15.6,0.4,8.0,2.4,45,0,18959,0,0
486,15,13,0,False,2020-09-19T16:30:00Z,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,23357,83312,34970,11613
486,21,7,0,True,2020-09-26T14:00:00Z,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-10225,72733,8490,18715
486,31,5,0,False,2020-10-03T11:30:00Z,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-16800,56408,118,16918
486,40,3,0,True,2020-10-18T13:00:00Z,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-4267,53569,1103,5370
486,53,8,2,False,2020-10-24T14:00:00Z,1,2,6,90,0,0,0,1,0,0,0,0,0,0,0,13,18.6,0.3,0.0,1.9,45,-3249,50647,568,3817
486,68,20,1,False,2020-10-30T20:00:00Z,2,0,7,90,0,0,0,2,0,0,0,0,0,0,0,13,16.6,0.8,34.0,5.1,44,-1027,50171,1208,2235
486,72,10,8,True,2020-11-07T15:00:00Z,4,1,8,90,1,0,0,1,0,0,0,0,0,0,0,24,53.4,0.1,17.0,7.1,44,-454,49943,2175,2629
486,80,4,2,False,2020-11-23T17:30:00Z,1,0,9,90,0,0,0,1,0,0,0,0,0,0,0,14,14.4,10.8,4.0,2.9,44,17765,70973,21978,4213
486,92,14,0,True,2020-11-27T20:00:00Z,0,2,10,90,0,0,0,2,0,0,0,1,0,0,0,10,13.4,0.3,0.0,1.4,44,7574,78758,11319,3745
486,107,18,0,False,2020-12-06T12:00:00Z,1,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-36,79246,6322,6358
486,110,17,0,True,2020-12-13T14:15:00Z,1,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-8743,68336,863,9606
486,125,19,2,False,2020-12-16T20:00:00Z,1,1,13,90,0,0,0,1,0,0,0,0,0,0,0,13,13.4,0.3,20.0,3.4,44,-6201,62389,414,6615
486,132,11,0,True,2020-12-19T12:30:00Z,0,7,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-3311,59327,728,4039
486,140,2,1,False,2020-12-26T15:00:00Z,3,0,15,90,0,0,0,3,0,0,0,0,0,0,0,13,11.0,0.6,4.0,1.6,44,-4205,55165,1019,5224
486,152,9,0,True,2020-12-28T15:00:00Z,1,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-1808,53588,832,2640
486,162,15,0,True,2021-01-02T15:00:00Z,2,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-21,53983,3929,3950
486,169,1,0,False,2021-01-14T20:00:00Z,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-5818,44297,544,6362
486,185,12,0,False,2021-01-17T19:15:00Z,4,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-3848,43834,174,4022
486,195,19,0,True,2021-01-26T18:00:00Z,2,3,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-1863,42730,372,2235
486,202,20,6,True,2021-01-30T15:00:00Z,1,0,21,90,0,0,1,0,0,0,0,0,0,0,0,28,13.8,0.7,2.0,1.7,43,-1499,41282,136,1635
486,217,14,2,False,2021-02-02T20:15:00Z,1,2,22,90,0,0,0,1,0,0,0,0,0,0,0,16,32.0,0.3,0.0,3.2,43,319,41709,987,668
486,222,10,1,False,2021-02-08T20:00:00Z,2,0,23,90,0,0,0,2,0,0,0,0,0,0,0,9,7.4,0.4,4.0,1.2,43,-321,41433,659,980
486,232,4,1,True,2021-02-13T15:00:00Z,0,3,24,90,0,0,0,3,0,0,0,0,0,0,0,16,28.2,0.3,0.0,2.9,43,348,41883,1933,1585
486,241,3,0,False,2021-02-22T20:00:00Z,1,2,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-840,41165,916,1756
486,250,8,0,True,2021-02-28T12:00:00Z,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-702,40552,1090,1792
486,281,13,0,True,2021-03-03T20:15:00Z,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-702,40552,1090,1792
486,266,17,0,False,2021-03-07T19:15:00Z,4,1,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-907,39655,107,1014
486,270,18,0,True,2021-03-13T15:00:00Z,1,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-615,39082,189,804
