season_name,element_code,start_cost,end_cost,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index
2009/10,19188,40,40,88,2700,0,2,0,39,2,0,0,4,0,0,3,0,0.0,0.0,0.0,0.0
2010/11,19188,45,44,67,1800,2,1,6,25,1,0,0,4,0,0,2,0,0.0,0.0,0.0,0.0
2011/12,19188,50,47,50,2402,1,1,3,58,2,0,0,2,0,0,3,0,0.0,0.0,0.0,0.0
2013/14,19188,40,40,47,1260,1,0,5,15,0,0,0,4,0,0,2,61,0.0,0.0,0.0,0.0
2014/15,19188,50,49,105,2920,2,4,6,40,0,0,0,6,0,0,7,455,0.0,0.0,0.0,0.0
2015/16,19188,50,56,130,3150,5,2,8,44,0,0,0,7,0,0,11,604,0.0,0.0,0.0,0.0
2016/17,19188,55,51,61,1752,3,1,2,36,0,0,0,2,0,0,4,310,459.0,73.1,426.0,96.0
2017/18,19188,50,46,32,1434,1,0,1,26,0,0,0,4,0,0,0,211,342.2,62.3,268.0,67.0
2018/19,19188,45,44,23,661,0,1,2,10,0,0,0,1,0,0,0,129,186.2,22.5,71.0,28.1
2019/20,19188,45,43,51,1264,0,1,5,14,0,0,0,0,0,0,3,253,250.2,58.3,177.0,48.6
