element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
389,4,7,0,True,2020-09-13T15:30:00Z,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,0,236728,0,0
389,17,16,0,False,2020-09-20T11:00:00Z,2,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-73290,171292,3206,76496
389,26,14,0,True,2020-09-27T13:00:00Z,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,-52114,123513,2664,54778
389,35,13,12,False,2020-10-04T15:30:00Z,1,6,4,90,1,1,0,1,0,0,0,0,0,0,1,41,71.0,13.8,56.0,14.1,52,-24948,101336,1518,26466
389,47,19,1,True,2020-10-18T15:30:00Z,3,3,5,90,0,0,0,3,0,0,0,0,0,0,0,19,23.2,16.2,4.0,4.3,52,59518,183752,77204,17686
389,52,4,0,False,2020-10-26T20:00:00Z,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,52,14852,195046,31700,16848
389,67,3,0,True,2020-11-01T19:15:00Z,2,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,52,-11516,183797,11603,23119
389,77,18,0,False,2020-11-08T12:00:00Z,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,52,-38084,145209,2740,40824
389,87,12,6,True,2020-11-21T17:30:00Z,2,0,9,90,0,0,1,0,0,0,0,0,0,0,0,21,24.0,5.1,0.0,2.9,52,-18941,127562,1900,20841
389,91,5,6,False,2020-11-29T16:30:00Z,0,0,10,90,0,0,1,0,0,0,0,0,0,0,0,23,13.6,4.4,8.0,2.6,52,491,130172,4714,4223
389,106,1,7,True,2020-12-06T16:30:00Z,2,0,11,90,0,0,1,0,0,0,0,0,0,0,1,28,19.2,0.8,0.0,2.0,52,12478,146807,16629,4151
389,110,6,2,False,2020-12-13T14:15:00Z,1,1,12,90,0,0,0,1,0,0,0,0,0,0,0,8,5.2,17.4,6.0,2.9,52,3226,149474,13935,10709
389,127,11,1,False,2020-12-16T20:00:00Z,2,1,13,90,0,0,0,2,0,0,0,0,0,0,0,12,30.8,0.3,0.0,3.1,52,1501,151918,8074,6573
389,137,9,1,True,2020-12-20T14:15:00Z,0,2,14,63,0,0,0,2,0,0,0,0,0,0,0,6,2.4,9.3,2.0,1.4,52,15583,169349,20037,4454
389,148,20,0,False,2020-12-27T19:15:00Z,1,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,52,8293,179015,19665,11372
389,167,10,0,True,2021-01-02T12:30:00Z,3,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,52,-7941,174463,4347,12288
389,157,8,2,True,2021-01-13T20:15:00Z,1,1,18,90,0,0,0,1,0,0,0,0,0,0,0,25,25.8,54.9,2.0,8.3,52,-13751,166722,8070,21821
389,186,15,8,False,2021-01-17T14:00:00Z,1,3,19,90,1,0,0,1,0,0,0,0,0,0,0,19,39.4,2.6,37.0,7.9,52,-13666,147010,1533,15199
389,198,11,1,True,2021-01-28T20:00:00Z,1,3,20,45,0,0,0,1,0,0,0,0,0,0,0,4,0.0,2.3,0.0,0.2,52,-7953,142803,4288,12241
389,200,3,0,False,2021-01-31T19:15:00Z,1,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,52,60,143618,5375,5315
389,218,5,2,True,2021-02-04T20:00:00Z,0,1,22,90,0,0,0,1,0,0,0,0,0,0,0,10,14.8,17.2,4.0,3.6,52,-6942,136837,1423,8365
