element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
65,7,5,2,True,2020-09-14T19:15:00Z,1,3,1,90,0,0,0,3,0,0,0,0,0,0,0,16,15.4,18.2,20.0,5.4,50,0,2728,0,0
65,16,14,3,False,2020-09-20T13:00:00Z,0,3,2,77,0,0,1,0,0,0,0,0,0,0,0,9,9.2,13.6,0.0,2.3,50,596,4539,1554,958
65,19,13,8,True,2020-09-26T11:30:00Z,2,3,3,90,1,0,0,3,0,0,0,0,0,0,1,31,47.2,18.2,66.0,13.1,50,658,5890,2011,1353
65,32,7,5,False,2020-10-03T14:00:00Z,4,2,4,90,0,1,0,4,0,0,0,0,0,0,0,25,29.8,28.1,8.0,6.6,50,40144,52692,51237,11093
65,40,6,3,False,2020-10-18T13:00:00Z,1,1,5,90,0,0,0,1,0,0,0,0,0,0,1,17,15.8,42.2,10.0,6.8,50,18168,73126,35647,17479
65,51,18,3,True,2020-10-26T17:30:00Z,1,1,6,69,0,0,1,0,0,0,0,0,0,0,0,5,4.0,20.6,4.0,2.9,50,13758,88440,25420,11662
65,67,17,2,False,2020-11-01T19:15:00Z,2,1,7,64,0,0,0,1,0,0,0,0,0,0,0,10,6.4,16.7,8.0,3.1,50,-1636,86542,10361,11997
65,70,4,0,True,2020-11-06T17:30:00Z,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-14790,71053,4162,18952
65,79,2,9,False,2020-11-21T15:00:00Z,1,2,9,90,1,0,0,1,0,0,0,0,0,0,2,31,49.4,1.8,21.0,7.2,50,-8068,63645,3829,11897
65,90,11,2,True,2020-11-28T12:30:00Z,1,1,10,90,0,0,0,1,0,0,0,0,0,0,0,9,20.2,1.8,8.0,3.0,50,13213,78959,20491,7278
65,100,16,2,True,2020-12-07T20:00:00Z,1,2,11,90,0,0,0,2,0,0,0,0,0,0,0,5,9.4,16.9,4.0,3.0,50,15765,97168,24756,8991
65,114,9,2,False,2020-12-13T19:15:00Z,3,0,12,90,0,0,0,3,0,0,0,0,0,0,0,12,23.6,25.3,20.0,6.9,50,2768,98590,11698,8930
65,121,8,3,False,2020-12-16T20:00:00Z,0,0,13,90,0,0,1,0,0,0,0,0,0,0,0,8,9.8,20.8,2.0,3.3,50,5720,104954,13694,7974
65,129,15,4,True,2020-12-20T12:00:00Z,1,1,14,90,0,0,0,1,0,0,0,0,0,0,2,21,23.4,64.3,26.0,11.4,50,5234,110975,14012,8778
65,147,19,5,False,2020-12-27T14:15:00Z,2,2,15,90,0,1,0,2,0,0,0,0,0,0,0,19,11.2,4.0,15.0,3.0,50,4223,116112,16793,12570
65,149,1,1,True,2020-12-29T18:00:00Z,0,1,16,22,0,0,0,0,0,0,0,0,0,0,0,8,6.0,0.4,0.0,0.6,50,1934,118433,10156,8222
65,159,20,2,True,2021-01-02T17:30:00Z,3,3,17,90,0,0,0,3,0,0,0,0,0,0,0,7,16.4,45.9,22.0,8.4,50,-3007,115849,11374,14381
65,178,12,1,False,2021-01-13T18:00:00Z,1,0,18,22,0,0,0,0,0,0,0,0,0,0,0,2,10.0,0.4,0.0,1.0,50,-4697,107236,15013,19710
65,182,10,3,False,2021-01-16T15:00:00Z,0,1,19,90,0,0,1,0,0,0,0,0,0,0,0,8,14.0,11.2,2.0,2.7,50,-11430,98670,8341,19771
65,189,8,3,True,2021-01-27T19:30:00Z,0,0,20,90,0,0,1,0,0,0,0,0,0,0,0,9,18.6,17.3,40.0,7.6,50,-5042,97540,10034,15076
65,200,17,3,True,2021-01-31T19:15:00Z,1,0,21,90,0,0,1,0,0,0,0,0,0,0,0,21,19.6,27.2,42.0,8.9,50,-14402,83060,1992,16394
65,216,11,3,False,2021-02-03T20:15:00Z,0,1,22,66,0,0,1,0,0,0,0,0,0,0,0,10,9.2,19.4,4.0,3.3,50,-6243,77265,2246,8489
65,220,4,0,False,2021-02-06T15:00:00Z,1,1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-15709,61504,791,16500
65,230,2,0,True,2021-02-13T20:00:00Z,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-14431,46827,210,14641
65,241,6,0,True,2021-02-22T20:00:00Z,1,2,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-5860,41569,117,5977
65,258,18,0,False,2021-02-27T15:00:00Z,1,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-4199,37358,66,4265
65,260,9,0,True,2021-03-06T20:00:00Z,1,2,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-1733,35747,121,1854
65,277,16,0,False,2021-03-14T12:00:00Z,1,2,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-1463,34316,76,1539
