element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
258,3,10,0,True,2020-09-12T16:30:00Z,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,65,0,30923,0,0
258,11,5,1,False,2020-09-20T15:30:00Z,0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.3,2.0,0.2,64,-11983,21317,727,12710
258,23,1,1,True,2020-09-28T19:00:00Z,3,1,3,1,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,63,-7447,14945,455,7902
258,30,2,1,False,2020-10-04T18:15:00Z,7,2,4,45,0,0,0,3,0,0,0,0,0,0,0,5,7.2,1.0,28.0,3.6,62,-2388,13344,622,3010
258,41,7,0,False,2020-10-17T11:30:00Z,2,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,62,-1720,12222,657,2377
258,54,15,1,True,2020-10-24T19:00:00Z,2,1,6,7,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.3,0.0,0.0,61,-1154,11323,260,1414
258,63,19,0,True,2020-10-31T17:30:00Z,2,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,61,-633,10910,232,865
258,75,12,0,False,2020-11-08T16:30:00Z,1,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,61,-752,10264,180,932
258,83,9,1,True,2020-11-22T19:15:00Z,3,0,9,1,0,0,0,0,0,0,0,0,0,0,0,2,2.0,0.0,17.0,1.9,60,-334,10145,362,696
258,90,3,2,False,2020-11-28T12:30:00Z,1,1,10,90,0,0,0,1,0,0,0,0,0,0,0,7,4.4,4.8,7.0,1.6,60,-166,10124,289,455
258,103,20,0,True,2020-12-06T19:15:00Z,4,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,60,-85,10224,320,405
258,112,8,1,False,2020-12-13T16:30:00Z,1,1,12,45,0,0,0,0,0,0,0,0,0,0,0,12,9.8,3.8,0.0,1.4,60,-172,10200,273,445
258,127,17,0,True,2020-12-16T20:00:00Z,2,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,60,25,10334,321,296
258,132,6,8,False,2020-12-19T12:30:00Z,0,7,14,90,1,0,1,0,0,0,0,0,0,0,0,25,35.4,3.8,41.0,8.0,60,70,10503,408,338
258,144,18,0,True,2020-12-27T16:30:00Z,1,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,60,4944,16080,5928,984
258,155,14,0,False,2020-12-30T20:00:00Z,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,60,-893,15098,830,1723
258,166,16,0,False,2021-01-04T20:00:00Z,1,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,60,-1467,13747,403,1870
258,184,13,0,True,2021-01-17T16:30:00Z,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,60,-240,12628,300,540
258,177,4,1,True,2021-01-21T20:00:00Z,0,1,19,6,0,0,0,0,0,0,0,0,0,0,0,3,0.6,0.6,23.0,2.4,60,-240,12628,300,540
258,198,17,0,False,2021-01-28T20:00:00Z,1,3,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,60,-629,12127,163,792
258,206,2,0,True,2021-01-30T20:00:00Z,0,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,60,-334,12173,490,244
258,213,13,0,False,2021-02-02T20:15:00Z,9,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,60,1484,13718,1605,121
258,225,14,7,False,2021-02-06T15:00:00Z,3,2,23,90,1,0,0,3,0,0,0,0,0,0,0,28,34.6,5.9,25.0,6.6,60,3796,17741,4661,865
258,236,20,2,True,2021-02-14T12:00:00Z,1,2,24,61,0,0,0,1,0,0,0,0,0,0,0,7,0.0,2.9,4.0,0.6,60,12649,30864,15928,3279
258,246,5,9,True,2021-02-20T12:30:00Z,1,1,25,75,1,0,0,1,0,0,0,0,0,0,2,21,33.0,4.3,17.0,5.4,60,12879,44502,16957,4078
258,172,10,1,False,2021-02-23T18:00:00Z,3,0,25,32,0,0,0,2,0,0,0,0,0,0,0,3,0.2,0.7,0.0,0.1,60,12879,44502,16957,4078
258,251,7,0,False,2021-03-01T20:00:00Z,1,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,60,-2250,41961,18441,20691
258,265,15,3,False,2021-03-06T15:00:00Z,0,2,27,87,0,0,1,0,0,0,0,0,0,0,0,10,4.6,13.0,15.0,3.3,60,-2383,39980,6808,9191
258,325,12,0,False,2021-03-10T18:00:00Z,5,2,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,60,-2383,39980,6808,9191
258,277,3,2,True,2021-03-14T12:00:00Z,1,2,28,64,0,0,0,2,0,0,0,0,0,0,0,6,7.4,11.3,35.0,5.4,60,5774,46253,10178,4404
