element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
405,4,7,1,True,2020-09-13T15:30:00Z,0,1,1,14,0,0,0,0,0,0,0,0,0,0,0,3,3.8,1.3,0.0,0.5,60,0,12879,0,0
405,17,16,0,False,2020-09-20T11:00:00Z,2,5,2,45,0,0,0,1,0,0,0,1,0,0,0,2,2.2,1.5,0.0,0.4,60,-1682,14674,1261,2943
405,26,14,1,True,2020-09-27T13:00:00Z,1,1,3,13,0,0,0,1,0,0,0,0,0,0,0,3,2.0,5.1,4.0,1.1,60,-1369,15690,2510,3879
405,35,13,7,False,2020-10-04T15:30:00Z,1,6,4,68,1,0,0,1,0,0,0,0,0,0,0,30,44.4,14.1,43.0,10.2,59,-927,16143,1746,2673
405,47,19,3,True,2020-10-18T15:30:00Z,3,3,5,72,0,0,1,0,0,0,0,0,0,0,0,12,9.6,3.3,2.0,1.5,59,3588,22838,6220,2632
405,52,4,3,False,2020-10-26T20:00:00Z,0,1,6,78,0,0,1,0,0,0,0,0,0,0,0,15,11.0,19.3,18.0,4.8,59,627,24417,3360,2733
405,67,3,1,True,2020-11-01T19:15:00Z,2,1,7,63,0,0,0,1,0,0,0,1,0,0,0,0,0.2,5.0,6.0,1.1,59,1263,26761,3669,2406
405,77,18,3,False,2020-11-08T12:00:00Z,0,1,8,63,0,0,1,0,0,0,0,0,0,0,0,11,7.8,43.2,2.0,5.3,59,-1003,26222,2238,3241
405,87,12,6,True,2020-11-21T17:30:00Z,2,0,9,64,0,1,1,0,0,0,0,0,0,0,0,23,22.2,14.0,4.0,4.0,59,-4391,21913,475,4866
405,91,5,3,False,2020-11-29T16:30:00Z,0,0,10,64,0,0,1,0,0,0,0,0,0,0,0,11,16.0,1.0,2.0,1.9,59,4265,27397,5517,1252
405,106,1,0,True,2020-12-06T16:30:00Z,2,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,59,3863,32472,6265,2402
405,110,6,3,False,2020-12-13T14:15:00Z,1,1,12,66,0,0,1,0,0,0,0,0,0,0,0,6,14.2,15.3,36.0,6.6,59,-2277,30203,2409,4686
405,127,11,0,False,2020-12-16T20:00:00Z,2,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,59,725,31400,2583,1858
405,137,9,1,True,2020-12-20T14:15:00Z,0,2,14,45,0,0,0,1,0,0,0,0,0,0,0,4,3.0,1.7,4.0,0.9,59,-957,30704,1574,2531
405,148,20,11,False,2020-12-27T19:15:00Z,1,1,15,69,1,0,1,0,0,0,0,0,0,0,3,28,45.2,25.9,7.0,7.8,59,-1292,30010,1605,2897
405,167,10,3,True,2021-01-02T12:30:00Z,3,0,17,77,0,0,1,0,0,0,0,0,0,0,0,7,12.8,2.3,33.0,4.8,59,1660,38852,4601,2941
405,157,8,2,True,2021-01-13T20:15:00Z,1,1,18,80,0,0,0,1,0,0,0,0,0,0,0,20,18.2,28.8,3.0,5.0,59,3689,49784,9356,5667
405,186,15,9,False,2021-01-17T14:00:00Z,1,3,19,90,1,0,0,1,0,0,0,0,0,0,2,34,53.0,8.2,25.0,8.6,59,-3349,39910,1950,5299
405,198,11,2,True,2021-01-28T20:00:00Z,1,3,20,90,0,0,0,3,0,0,0,0,0,0,0,15,9.4,7.4,2.0,1.9,59,9491,53636,14655,5164
405,200,3,2,False,2021-01-31T19:15:00Z,1,0,21,73,0,0,0,1,0,0,0,0,0,0,0,15,15.2,4.3,0.0,2.0,59,1559,55670,6258,4699
405,218,5,2,True,2021-02-04T20:00:00Z,0,1,22,68,0,0,0,1,0,0,0,0,0,0,0,9,2.6,1.4,2.0,0.6,59,-7204,48532,1434,8638
405,227,18,3,True,2021-02-07T12:00:00Z,2,0,23,90,0,0,1,0,0,0,0,0,0,0,0,13,8.0,7.3,8.0,2.3,59,-2905,46289,2422,5327
405,235,12,2,False,2021-02-13T17:30:00Z,3,0,24,63,0,0,0,2,0,0,0,0,0,0,0,6,6.0,0.9,35.0,4.2,59,-3327,43503,1788,5115
405,247,19,2,False,2021-02-21T12:00:00Z,2,1,25,90,0,0,0,2,0,0,0,0,0,0,0,15,10.8,3.8,2.0,1.7,59,-2194,41980,1148,3342
405,257,4,3,True,2021-02-28T14:00:00Z,4,0,26,90,0,0,1,0,0,0,0,0,0,0,0,21,19.8,13.9,0.0,3.4,59,2842,45715,5698,2856
405,321,8,3,False,2021-03-04T18:00:00Z,0,1,26,74,0,0,1,0,0,0,0,0,0,0,0,10,7.6,2.2,0.0,1.0,59,2842,45715,5698,2856
405,266,6,0,True,2021-03-07T19:15:00Z,4,1,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,59,-535,45448,2366,2901
405,269,1,2,False,2021-03-14T16:30:00Z,2,1,28,61,0,0,0,1,0,0,0,0,0,0,0,5,8.4,0.8,0.0,0.9,59,-2443,43280,1234,3677
