element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
148,4,17,0,False,2020-09-13T15:30:00Z,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,60,0,14946,0,0
148,12,18,0,True,2020-09-19T11:30:00Z,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,60,-2687,16099,1186,3873
148,21,6,0,False,2020-09-26T14:00:00Z,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,59,-3739,13382,551,4290
148,32,3,1,True,2020-10-03T14:00:00Z,4,2,4,12,0,0,0,1,0,0,0,0,0,0,0,3,0.2,0.3,0.0,0.1,59,-1656,12620,475,832
148,37,18,0,True,2020-10-04T11:00:00Z,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,59,-1656,12620,475,832
148,39,5,5,False,2020-10-17T14:00:00Z,3,3,5,90,0,1,0,3,0,0,0,0,0,0,0,21,26.6,53.8,9.0,8.9,58,921,13952,2110,1189
148,56,7,0,True,2020-10-25T14:00:00Z,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,58,-1499,12373,541,2040
148,59,2,5,False,2020-11-01T12:00:00Z,3,4,7,90,0,1,0,3,0,0,0,0,0,0,0,12,5.4,0.3,19.0,2.5,58,1377,14232,2285,908
148,76,14,6,True,2020-11-06T20:00:00Z,2,0,8,87,0,1,1,0,0,0,0,0,0,0,0,12,19.4,17.7,27.0,6.4,58,2775,17696,3854,1079
148,88,20,7,False,2020-11-23T20:00:00Z,1,1,9,90,1,0,0,1,0,0,0,0,0,0,0,17,36.4,3.1,58.0,9.8,58,7864,26964,10653,2789
148,96,13,2,True,2020-11-29T14:00:00Z,2,3,10,90,0,0,0,3,0,0,0,0,0,0,0,2,9.8,2.3,28.0,4.0,58,22771,51018,25736,2965
148,100,3,2,False,2020-12-07T20:00:00Z,1,2,11,68,0,0,0,1,0,0,0,0,0,0,0,0,0.0,2.5,7.0,0.4,58,13535,65407,20558,7023
148,117,15,3,True,2020-12-13T12:00:00Z,3,0,12,79,0,0,1,0,0,0,0,0,0,0,0,6,6.4,4.1,2.0,1.3,58,-925,63895,8660,9585
148,119,1,9,False,2020-12-16T18:00:00Z,1,1,13,62,1,0,0,1,0,0,0,0,0,0,2,23,42.6,0.8,38.0,8.1,58,-4816,59139,4778,9594
148,136,12,2,True,2020-12-19T15:00:00Z,0,1,14,90,0,0,0,1,0,0,0,0,0,0,0,8,19.0,30.3,23.0,7.2,58,8594,68870,14346,5752
148,141,8,3,False,2020-12-26T15:00:00Z,0,0,15,90,0,0,1,0,0,0,0,0,0,0,0,0,2.6,1.9,4.0,0.9,58,25677,97926,33930,8253
148,156,19,3,True,2020-12-29T18:00:00Z,0,0,16,90,0,0,1,0,0,0,0,0,0,0,0,4,9.2,38.3,20.0,6.8,58,2173,99751,12833,10660
148,166,11,3,True,2021-01-04T20:00:00Z,1,0,17,81,0,0,1,0,0,0,0,0,0,0,0,7,3.2,1.2,1.0,0.5,58,-12941,86950,5860,18801
148,183,9,2,False,2021-01-16T20:00:00Z,2,0,19,90,0,0,0,2,0,0,0,0,0,0,0,5,5.0,21.5,12.0,3.9,58,-9547,65024,3828,13375
148,197,1,2,True,2021-01-26T20:15:00Z,1,3,20,73,0,0,0,3,0,0,0,0,0,0,0,6,4.0,2.6,13.0,2.0,58,-6944,59783,3348,10292
148,206,2,2,True,2021-01-30T20:00:00Z,0,1,21,64,0,0,0,1,0,0,0,0,0,0,0,-2,0.0,1.8,4.0,0.5,58,-8089,51820,761,8850
148,213,13,0,False,2021-02-02T20:15:00Z,9,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,58,-10119,41772,99,10218
148,225,14,0,False,2021-02-06T15:00:00Z,3,2,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,58,-7619,34229,52,7671
148,236,20,0,True,2021-02-14T12:00:00Z,1,2,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,58,-5105,29130,46,5151
148,246,5,0,True,2021-02-20T12:30:00Z,1,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,58,-2022,27267,58,2080
148,172,10,0,False,2021-02-23T18:00:00Z,3,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,58,-2022,27267,58,2080
148,251,7,0,False,2021-03-01T20:00:00Z,1,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,58,-1405,25887,46,1451
148,265,15,0,False,2021-03-06T15:00:00Z,0,2,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,58,-743,25187,32,775
148,325,12,0,False,2021-03-10T18:00:00Z,5,2,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,58,-743,25187,32,775
148,277,3,0,True,2021-03-14T12:00:00Z,1,2,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,58,-561,24650,30,591
