element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
490,7,3,0,False,2020-09-14T19:15:00Z,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,0,179186,0,0
490,11,11,0,True,2020-09-20T15:30:00Z,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,-49718,140573,4131,53849
490,27,18,1,False,2020-09-26T16:30:00Z,3,3,3,72,0,0,0,3,0,0,0,0,0,0,0,11,10.6,2.9,0.0,1.4,55,-5244,154113,26200,31444
490,31,6,6,True,2020-10-03T11:30:00Z,4,0,4,90,0,0,1,0,0,0,0,0,0,0,0,30,29.4,12.4,2.0,4.4,55,-9276,153372,11181,20457
490,39,16,0,True,2020-10-17T14:00:00Z,3,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,-5784,159307,20012,25796
490,55,13,7,False,2020-10-24T16:30:00Z,0,0,6,90,0,0,1,0,0,0,0,0,0,0,1,29,33.2,0.7,0.0,3.4,55,-16061,145137,5500,21561
490,60,4,6,False,2020-10-31T15:00:00Z,0,3,7,90,0,0,1,0,0,0,0,0,0,0,0,30,31.4,1.0,17.0,4.9,55,32516,188042,38138,5622
490,71,15,8,True,2020-11-07T17:30:00Z,4,1,8,90,1,0,0,1,0,0,0,0,0,0,0,24,55.0,1.0,33.0,8.9,55,27304,220996,35517,8213
490,85,14,0,False,2020-11-21T12:30:00Z,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,20720,250182,53437,32717
490,91,17,6,True,2020-11-29T16:30:00Z,0,0,10,90,0,0,1,0,0,0,0,0,0,0,0,23,13.8,1.8,0.0,1.6,55,-10104,240914,10449,20553
490,102,10,2,True,2020-12-05T20:00:00Z,3,1,11,90,0,0,0,1,0,0,0,0,0,0,0,18,21.6,11.3,0.0,3.3,55,24856,275219,31794,6938
490,111,7,1,False,2020-12-12T20:00:00Z,1,0,12,90,0,0,0,1,0,0,0,1,0,0,0,14,20.2,1.2,0.0,2.1,55,-544,276108,13069,13613
490,126,20,1,False,2020-12-15T18:00:00Z,2,1,13,90,0,0,0,2,0,0,0,0,0,0,0,15,29.4,0.8,2.0,3.2,55,-3359,275248,7505,10864
490,131,19,14,True,2020-12-21T20:00:00Z,3,0,14,90,1,0,1,0,0,0,0,0,0,0,2,46,56.8,0.9,21.0,7.9,55,-5296,272200,7277,12573
490,139,1,0,False,2020-12-26T17:30:00Z,3,1,15,90,0,0,0,3,0,0,0,1,0,0,0,6,17.8,0.4,10.0,2.8,56,86210,370693,96403,10193
490,151,2,0,True,2020-12-28T17:30:00Z,1,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,56,714,370524,22521,21807
490,161,12,1,True,2021-01-03T16:30:00Z,1,3,17,90,0,0,0,3,0,0,0,0,0,0,0,15,11.0,0.8,0.0,1.2,56,-26186,347049,10924,37110
490,181,8,6,False,2021-01-16T17:30:00Z,0,1,19,90,0,0,1,0,0,0,0,1,0,0,1,30,27.2,13.9,18.0,5.9,56,-38,321969,13031,13069
490,173,9,1,False,2021-01-19T20:15:00Z,2,0,19,90,0,0,0,2,0,0,0,0,0,0,0,15,21.0,1.4,33.0,5.5,56,-38,321969,13031,13069
490,194,20,9,True,2021-01-27T18:00:00Z,0,0,20,90,0,0,1,0,0,0,0,0,0,0,3,31,26.0,3.8,0.0,3.0,56,-6081,318184,12189,18270
490,201,4,7,True,2021-01-31T12:00:00Z,2,0,21,90,0,0,1,0,0,0,0,0,0,0,1,29,25.2,0.8,6.0,3.2,56,33177,355938,40784,7607
490,218,17,1,False,2021-02-04T20:00:00Z,0,1,22,35,0,0,0,0,0,0,0,0,0,0,0,10,6.2,0.4,2.0,0.9,56,31910,390462,41997,10087
490,226,15,0,False,2021-02-07T19:15:00Z,1,2,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,56,-47513,344502,26240,73753
490,231,14,0,True,2021-02-15T20:00:00Z,2,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,56,-66579,276642,1000,67579
