element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
498,5,18,14,False,2020-09-13T13:00:00Z,0,3,1,90,1,0,1,0,0,0,0,0,0,0,2,38,45.8,3.0,35.0,8.4,55,0,67356,0,0
498,14,4,9,True,2020-09-20T18:00:00Z,4,2,2,90,0,2,0,2,0,0,0,0,0,0,2,32,28.8,24.7,8.0,6.2,55,129938,313021,156832,26894
498,24,12,4,False,2020-09-27T15:30:00Z,2,5,3,90,0,1,0,2,0,0,0,0,0,0,0,22,24.4,15.4,4.0,4.4,56,312939,710062,408415,95476
498,34,19,1,True,2020-10-04T11:00:00Z,0,3,4,90,0,0,0,3,0,0,0,0,0,0,0,17,16.2,20.8,8.0,4.5,57,407839,1195613,442592,34753
498,43,2,1,True,2020-10-18T18:15:00Z,0,1,5,90,0,0,0,1,0,0,0,1,0,0,0,5,12.6,2.8,29.0,4.4,58,260465,1508324,342681,82216
498,49,1,6,False,2020-10-25T19:15:00Z,0,1,6,90,0,0,1,0,0,0,0,0,0,0,0,22,17.2,11.4,2.0,3.1,58,11055,1500321,115705,104650
498,62,10,0,False,2020-11-02T20:00:00Z,1,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,58,-244091,1260260,90284,334375
498,74,20,0,True,2020-11-08T14:00:00Z,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,57,-474344,781688,1705,476049
498,83,11,0,False,2020-11-22T19:15:00Z,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,57,-129575,664602,15457,145032
498,94,8,0,True,2020-11-30T17:30:00Z,1,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,57,-35497,636726,20647,56144
498,105,15,0,False,2020-12-06T14:15:00Z,1,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,57,-93861,537118,2750,96611
498,114,3,0,True,2020-12-13T19:15:00Z,3,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,57,-96423,449658,235,96658
498,123,7,0,True,2020-12-16T18:00:00Z,0,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,57,-38303,413013,180,38483
498,137,17,1,False,2020-12-20T14:15:00Z,0,2,14,59,0,0,0,0,0,0,0,0,0,0,0,8,9.4,2.0,0.0,1.1,57,-24304,389649,480,24784
498,143,13,1,True,2020-12-26T12:30:00Z,2,2,15,90,0,0,0,2,0,0,0,0,0,0,0,13,13.6,2.8,0.0,1.6,57,-3106,387235,11548,14654
498,152,6,0,False,2020-12-28T15:00:00Z,1,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,57,7681,396269,14573,6892
498,165,14,2,False,2021-01-03T14:15:00Z,1,2,17,90,0,0,0,1,0,0,0,0,0,0,0,15,22.2,27.3,4.0,5.4,57,-5544,391091,9747,15291
498,183,16,6,True,2021-01-16T20:00:00Z,2,0,19,90,0,0,1,0,0,0,0,0,0,0,0,21,8.0,2.3,4.0,1.4,57,-326,375478,8684,9010
498,173,5,6,True,2021-01-19T20:15:00Z,2,0,19,90,0,0,1,0,0,0,0,0,0,0,0,19,13.0,12.3,2.0,2.7,57,-326,375478,8684,9010
498,191,7,2,False,2021-01-27T20:15:00Z,1,1,20,90,0,0,0,1,0,0,0,0,0,0,0,15,15.4,23.8,6.0,4.5,57,6439,382158,16033,9594
498,204,10,1,True,2021-01-31T14:00:00Z,1,3,21,36,0,0,0,1,0,0,0,0,0,0,0,6,3.0,0.3,0.0,0.3,57,8092,390872,14906,6814
498,211,8,0,False,2021-02-03T18:00:00Z,0,2,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,57,-25276,364906,3209,28485
498,228,20,0,False,2021-02-07T14:00:00Z,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,57,-28239,336701,172,28411
498,234,11,0,True,2021-02-13T12:30:00Z,3,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,57,-23833,312607,107,23940
498,240,2,2,False,2021-02-21T14:05:00Z,1,2,25,90,0,0,0,1,0,0,0,0,0,0,0,16,25.8,11.9,0.0,3.8,57,-7422,306135,899,8321
498,253,1,1,True,2021-02-28T12:00:00Z,1,3,26,90,0,0,0,3,0,0,0,0,0,0,0,11,12.2,2.0,0.0,1.4,57,16675,324627,22672,5997
498,280,4,2,False,2021-03-03T18:00:00Z,1,1,26,90,0,0,0,1,0,0,0,0,0,0,0,20,13.6,28.1,20.0,6.2,57,16675,324627,22672,5997
498,260,3,2,False,2021-03-06T20:00:00Z,1,2,27,90,0,0,0,1,0,0,0,0,0,0,0,12,23.6,13.7,2.0,3.9,57,6097,330306,10519,4422
498,274,15,6,True,2021-03-14T14:00:00Z,5,0,28,90,0,0,1,0,0,0,0,0,0,0,0,27,10.0,18.0,0.0,2.8,57,5930,336702,11734,5804
