element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
386,4,7,2,True,2020-09-13T15:30:00Z,0,1,1,90,0,0,0,1,0,0,0,0,0,0,0,12,17.0,11.2,2.0,3.0,55,0,166187,0,0
386,17,16,0,False,2020-09-20T11:00:00Z,2,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,-10421,181839,9316,19737
386,26,14,0,True,2020-09-27T13:00:00Z,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,-23668,167709,11803,35471
386,35,13,0,False,2020-10-04T15:30:00Z,1,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-30201,140085,2026,32227
386,47,19,1,True,2020-10-18T15:30:00Z,3,3,5,90,0,0,0,3,0,0,0,0,0,0,0,15,28.6,0.1,0.0,2.9,54,-16187,127143,3261,19448
386,52,4,8,False,2020-10-26T20:00:00Z,0,1,6,90,0,0,1,0,0,0,0,0,0,0,2,28,31.2,13.6,0.0,4.5,54,-4411,124622,3722,8133
386,67,3,2,True,2020-11-01T19:15:00Z,2,1,7,90,0,0,0,1,0,0,0,0,0,0,0,12,15.4,0.3,0.0,1.6,54,4735,131832,8920,4185
386,77,18,7,False,2020-11-08T12:00:00Z,0,1,8,90,0,0,1,0,0,0,0,0,0,0,1,26,17.0,1.0,17.0,3.5,54,2013,136090,6972,4959
386,87,12,6,True,2020-11-21T17:30:00Z,2,0,9,80,0,0,1,0,0,0,0,0,0,0,0,23,31.8,0.1,0.0,3.2,54,1654,139069,8564,6910
386,91,5,0,False,2020-11-29T16:30:00Z,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-17720,120714,1857,19577
386,106,1,6,True,2020-12-06T16:30:00Z,2,0,11,90,0,0,1,0,0,0,0,0,0,0,0,24,23.8,0.1,0.0,2.4,54,-13303,107925,282,13585
386,110,6,2,False,2020-12-13T14:15:00Z,1,1,12,90,0,0,0,1,0,0,0,0,0,0,0,13,23.4,14.1,0.0,3.8,54,7634,118485,9984,2350
386,127,11,1,False,2020-12-16T20:00:00Z,2,1,13,90,0,0,0,2,0,0,0,0,0,0,0,17,26.2,10.0,0.0,3.6,54,961,119572,3545,2584
386,137,9,-1,True,2020-12-20T14:15:00Z,0,2,14,90,0,0,0,2,1,0,0,0,0,0,0,18,27.8,11.7,4.0,4.4,54,3730,124285,5829,2099
386,148,20,0,False,2020-12-27T19:15:00Z,1,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,872,126361,6167,5295
386,167,10,13,True,2021-01-02T12:30:00Z,3,0,17,90,1,0,1,0,0,0,0,0,0,0,1,31,44.0,0.3,51.0,9.5,54,-1632,129312,2971,4603
386,157,8,0,True,2021-01-13T20:15:00Z,1,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,36389,233175,45607,9218
386,186,15,0,False,2021-01-17T14:00:00Z,1,3,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-12857,152644,2679,15536
386,198,11,0,True,2021-01-28T20:00:00Z,1,3,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-14916,141133,1793,16709
386,200,3,1,False,2021-01-31T19:15:00Z,1,0,21,90,0,0,0,1,0,0,0,1,0,0,0,11,36.4,5.5,0.0,4.2,54,-4875,137024,2373,7248
386,218,5,1,True,2021-02-04T20:00:00Z,0,1,22,90,0,0,0,1,0,0,0,1,0,0,0,11,14.6,0.3,0.0,1.5,54,-3446,134026,1219,4665
386,227,18,6,True,2021-02-07T12:00:00Z,2,0,23,90,0,0,1,0,0,0,0,0,0,0,0,24,13.8,1.5,20.0,3.5,54,2930,138425,6859,3929
386,235,12,0,False,2021-02-13T17:30:00Z,3,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-3370,135286,3441,6811
386,247,19,0,False,2021-02-21T12:00:00Z,2,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-2797,133319,2467,5264
386,257,4,6,True,2021-02-28T14:00:00Z,4,0,26,90,0,0,1,0,0,0,0,0,0,0,0,30,22.6,0.0,0.0,2.3,54,-27,134321,6547,6574
386,321,8,6,False,2021-03-04T18:00:00Z,0,1,26,90,0,0,1,0,0,0,0,0,0,0,0,23,12.8,0.0,0.0,1.3,54,-27,134321,6547,6574
386,266,6,2,True,2021-03-07T19:15:00Z,4,1,27,90,0,0,0,1,0,0,0,0,0,0,0,13,22.4,0.8,0.0,2.3,54,7453,142727,9782,2329
386,269,1,1,False,2021-03-14T16:30:00Z,2,1,28,90,0,0,0,2,0,0,0,0,0,0,0,17,18.2,0.5,0.0,1.9,54,-491,142343,4341,4832
