element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
163,4,17,1,False,2020-09-13T15:30:00Z,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,4,2.0,0.0,0.0,0.2,55,0,8045,0,0
163,12,18,0,True,2020-09-19T11:30:00Z,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,-928,9223,566,1494
163,21,6,1,False,2020-09-26T14:00:00Z,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,54,-1465,8286,540,2005
163,32,3,2,True,2020-10-03T14:00:00Z,4,2,4,90,0,0,0,2,0,0,0,0,0,0,0,18,20.2,2.8,0.0,2.3,54,-353,8331,665,1018
163,41,11,0,True,2020-10-17T11:30:00Z,2,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-594,8111,472,1066
163,56,16,0,False,2020-10-25T14:00:00Z,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-543,7715,196,739
163,65,14,0,False,2020-11-01T14:00:00Z,2,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,-368,7501,158,526
163,73,13,0,True,2020-11-07T12:30:00Z,1,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,-387,7189,104,491
163,81,8,1,False,2020-11-22T12:00:00Z,2,3,9,16,0,0,0,0,0,0,0,0,0,0,0,5,8.4,4.5,0.0,1.3,53,-312,6983,120,432
163,93,10,3,True,2020-11-28T17:30:00Z,0,1,10,60,0,0,1,0,0,0,0,0,0,0,0,10,11.8,15.2,0.0,2.7,53,-141,6940,95,236
163,101,4,0,False,2020-12-05T12:30:00Z,1,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,-101,6937,113,214
163,111,5,1,True,2020-12-12T20:00:00Z,1,0,12,4,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,53,-177,6792,75,252
163,123,9,0,False,2020-12-16T18:00:00Z,0,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,52,-11,6831,137,148
163,133,1,2,True,2020-12-19T17:30:00Z,2,1,14,90,0,0,0,1,0,0,0,0,0,0,0,3,0.2,11.6,0.0,1.2,52,-40,6827,125,165
163,146,15,3,False,2020-12-26T20:00:00Z,0,1,15,73,0,0,1,0,0,0,0,0,0,0,0,16,11.4,2.4,0.0,1.4,52,114,7056,343,229
163,163,19,1,True,2021-01-01T17:30:00Z,0,1,17,90,0,0,0,1,0,0,0,1,0,0,0,9,14.2,5.8,1.0,2.1,52,-61,7087,137,198
163,176,20,2,False,2021-01-12T20:15:00Z,1,2,18,63,0,0,0,1,0,0,0,0,0,0,0,17,7.4,2.3,0.0,1.0,52,13,7438,346,333
163,191,9,2,True,2021-01-27T20:15:00Z,1,1,20,90,0,0,0,1,0,0,0,0,0,0,0,10,14.2,1.1,1.0,1.6,52,-107,7114,129,236
163,203,14,0,True,2021-01-30T12:30:00Z,0,2,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,52,-91,7051,67,158
163,212,10,1,False,2021-02-03T19:30:00Z,1,2,22,1,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,52,-107,6969,42,149
163,224,13,2,False,2021-02-06T20:00:00Z,3,3,23,74,0,0,0,3,0,0,0,0,0,0,0,16,20.4,1.7,0.0,2.2,52,-97,6915,44,141
163,233,8,1,True,2021-02-14T19:00:00Z,0,2,24,55,0,0,0,1,0,0,0,0,0,0,0,8,9.8,0.7,0.0,1.1,52,27,7030,193,166
163,153,12,2,True,2021-02-17T20:15:00Z,1,3,24,68,0,0,0,2,0,0,0,0,0,0,0,6,4.2,0.2,0.0,0.4,52,27,7030,193,166
163,244,11,3,False,2021-02-20T17:30:00Z,0,2,25,90,0,0,1,0,0,0,0,0,0,0,0,9,11.6,0.7,0.0,1.2,52,-85,6981,94,179
163,251,16,0,True,2021-03-01T20:00:00Z,1,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,52,198,7272,320,122
163,287,18,0,False,2021-03-04T18:00:00Z,0,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,52,198,7272,320,122
163,262,5,0,False,2021-03-08T18:00:00Z,2,0,27,34,0,0,0,1,0,0,0,1,0,0,0,0,0.8,11.5,8.0,2.0,52,-220,7051,47,267
163,271,4,6,True,2021-03-13T17:30:00Z,1,2,28,65,0,1,0,2,0,0,0,0,0,0,1,23,23.2,26.4,12.0,6.2,52,-118,6964,70,188
