element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
449,6,14,2,True,2020-09-12T19:00:00Z,0,2,1,90,0,0,0,2,0,0,0,0,0,0,0,7,12.4,21.6,46.0,8.0,50,0,367903,0,0
449,9,1,2,False,2020-09-19T19:00:00Z,2,1,2,90,0,0,0,2,0,0,0,0,0,0,0,5,0.0,11.1,14.0,2.5,50,-44564,330238,14039,58603
449,28,20,6,True,2020-09-27T18:00:00Z,4,0,3,90,0,1,1,0,0,0,0,0,0,0,0,11,12.0,1.0,60.0,7.3,50,-66564,266500,12006,78570
449,34,9,3,False,2020-10-04T11:00:00Z,0,3,4,90,0,0,1,0,0,0,0,0,0,0,0,6,13.6,1.6,13.0,2.8,50,-4259,266731,28016,32275
449,47,17,1,False,2020-10-18T15:30:00Z,3,3,5,90,0,0,0,3,0,0,0,1,0,0,0,3,8.0,12.7,29.0,5.0,49,-39765,227185,20650,60415
449,57,12,2,True,2020-10-24T11:30:00Z,1,1,6,90,0,0,0,1,0,0,0,0,0,0,0,8,13.2,1.2,8.0,2.2,49,-21220,207643,10919,32139
449,63,11,2,False,2020-10-31T17:30:00Z,2,1,7,90,0,0,0,2,0,0,0,0,0,0,0,6,16.0,0.8,17.0,3.4,49,-9033,199755,8533,17566
449,78,8,9,True,2020-11-07T20:00:00Z,1,0,8,90,1,0,1,0,0,0,0,0,0,0,1,30,55.8,11.3,27.0,9.4,49,-4788,195640,11672,16460
449,86,15,3,False,2020-11-22T14:00:00Z,0,1,9,90,0,0,1,0,0,0,0,0,0,0,0,5,5.6,3.4,10.0,1.9,49,25889,225536,46506,20617
449,98,2,2,True,2020-11-30T20:00:00Z,2,1,10,90,0,0,0,1,0,0,0,0,0,0,0,7,8.4,1.5,18.0,2.8,49,31625,259122,44510,12885
449,108,13,8,True,2020-12-05T17:30:00Z,1,3,11,90,1,0,0,3,0,0,0,0,0,0,1,30,45.6,0.8,39.0,8.5,49,-1294,254955,22234,23528
449,113,10,9,False,2020-12-11T20:00:00Z,1,2,12,90,1,0,0,1,0,0,0,0,0,0,2,31,40.4,11.8,35.0,8.7,49,84286,345508,94555,10269
449,125,6,2,True,2020-12-16T20:00:00Z,1,1,13,90,0,0,0,1,0,0,0,0,0,0,0,10,13.4,2.5,2.0,1.8,50,228774,578706,235726,6952
449,131,5,2,False,2020-12-21T20:00:00Z,3,0,14,90,0,0,0,3,0,0,0,0,0,0,0,12,9.2,1.8,28.0,3.9,50,48395,624219,73984,25589
449,147,3,10,True,2020-12-27T14:15:00Z,2,2,15,90,1,0,0,2,0,0,0,0,0,0,3,32,46.2,3.4,92.0,14.2,51,73916,703119,104722,30806
449,156,16,3,False,2020-12-29T18:00:00Z,0,0,16,90,0,0,1,0,0,0,0,0,0,0,0,13,24.2,2.4,21.0,4.8,51,121040,828013,141722,20682
449,163,7,11,False,2021-01-01T17:30:00Z,0,1,17,90,1,0,1,0,0,0,0,0,0,0,3,34,49.8,1.5,38.0,8.9,52,83735,914010,129759,46024
449,187,4,2,True,2021-01-16T15:00:00Z,1,0,19,90,0,0,1,0,0,0,0,1,0,0,0,14,22.4,2.0,4.0,2.8,53,502120,1623913,533016,30896
449,175,18,2,True,2021-01-19T18:00:00Z,2,1,19,90,0,0,0,1,0,0,0,0,0,0,0,9,12.6,16.1,4.0,3.3,53,502120,1623913,533016,30896
449,195,6,15,False,2021-01-26T18:00:00Z,2,3,20,90,2,0,0,2,0,0,0,0,0,0,3,50,85.8,1.1,81.0,16.8,53,-137149,1395869,76760,213909
449,208,11,1,True,2021-01-31T16:30:00Z,1,3,21,90,0,0,0,3,0,0,0,1,0,0,0,10,8.6,1.0,4.0,1.4,53,40096,1442893,143511,103415
449,209,2,9,False,2021-02-03T20:15:00Z,1,3,22,90,1,0,0,1,0,0,0,0,0,0,2,30,56.2,13.7,64.0,13.4,53,17935,1464462,90265,72330
449,221,8,0,False,2021-02-06T17:30:00Z,0,0,23,90,0,0,1,0,0,0,0,0,1,0,0,3,22.6,5.1,13.0,4.1,54,230568,1706363,257726,27158
449,238,15,3,True,2021-02-15T18:00:00Z,3,0,24,90,0,0,1,0,0,0,0,0,0,0,0,14,15.0,12.8,2.0,3.0,54,-304130,1389480,70134,374264
