element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
572,46,15,2,False,2020-10-18T11:00:00Z,1,1,5,90,0,0,0,1,0,0,0,0,0,0,0,15,14.6,0.0,8.0,2.3,45,140,304,180,40
572,53,6,1,True,2020-10-24T14:00:00Z,1,2,6,90,0,0,0,2,0,0,0,0,0,0,0,11,15.6,1.1,0.0,1.7,45,484,1024,647,163
572,61,18,6,True,2020-11-02T17:30:00Z,2,0,7,90,0,0,1,0,0,0,0,0,0,0,0,21,12.2,0.4,4.0,1.7,45,188,1324,329,141
572,78,19,2,False,2020-11-07T20:00:00Z,1,0,8,90,0,0,0,1,0,0,0,0,0,0,0,12,16.4,0.3,18.0,3.5,45,150,1586,331,181
572,81,7,1,True,2020-11-22T12:00:00Z,2,3,9,90,0,0,0,3,0,0,0,0,0,0,0,15,20.0,1.3,0.0,2.1,45,-4,1745,233,237
572,94,9,1,False,2020-11-30T17:30:00Z,1,2,10,90,0,0,0,1,0,0,0,1,0,0,0,11,32.0,0.0,0.0,3.2,45,-35,1801,126,161
572,104,12,1,False,2020-12-05T15:00:00Z,2,0,11,90,0,0,0,2,0,0,0,0,0,0,0,13,17.4,0.3,7.0,2.5,45,33,1920,185,152
572,112,11,2,True,2020-12-13T16:30:00Z,1,1,12,90,0,0,0,1,0,0,0,0,0,0,0,12,27.6,10.3,8.0,4.6,45,-29,1985,142,171
572,121,3,9,True,2020-12-16T20:00:00Z,0,0,13,90,0,0,1,0,0,0,0,0,0,0,3,31,11.0,0.7,11.0,2.3,45,264,2372,374,110
572,135,14,7,False,2020-12-19T20:00:00Z,1,1,14,90,0,1,0,1,0,0,0,0,0,0,2,27,26.0,11.1,10.0,4.7,45,2294,4943,2674,380
572,141,16,6,True,2020-12-26T15:00:00Z,0,0,15,90,0,0,1,0,0,0,0,0,0,0,0,20,9.4,0.6,0.0,1.0,45,5404,11187,6783,1379
572,157,17,2,False,2021-01-13T20:15:00Z,1,1,18,90,0,0,0,1,0,0,0,0,0,0,0,17,27.8,0.8,6.0,3.5,45,7725,36211,14791,7066
572,181,5,2,True,2021-01-16T17:30:00Z,0,1,19,90,0,0,0,1,0,0,0,0,0,0,0,15,36.6,0.3,0.0,3.7,45,6894,37469,11420,4526
572,171,13,1,True,2021-01-20T20:15:00Z,1,2,19,90,0,0,0,2,0,0,0,0,0,0,0,16,32.2,0.5,17.0,5.0,45,6894,37469,11420,4526
572,189,3,6,False,2021-01-27T19:30:00Z,0,0,20,90,0,0,1,0,0,0,0,0,0,0,0,23,12.0,0.5,0.0,1.3,45,-2568,32626,2029,4597
572,207,18,1,False,2021-01-30T15:00:00Z,2,2,21,90,0,0,0,2,0,0,0,0,0,0,0,13,13.2,0.8,2.0,1.6,45,642,33583,2887,2245
572,211,9,1,True,2021-02-03T18:00:00Z,0,2,22,90,0,0,0,2,0,0,0,0,0,0,0,16,33.6,1.8,35.0,7.0,45,-2926,30642,429,3355
572,221,19,6,True,2021-02-06T17:30:00Z,0,0,23,90,0,0,1,0,0,0,0,0,0,0,0,21,15.0,0.8,6.0,2.2,45,-1895,28889,976,2871
572,233,7,7,False,2021-02-14T19:00:00Z,0,2,24,90,0,0,1,0,0,0,0,0,0,0,1,28,23.2,0.7,0.0,2.4,45,12851,50677,15990,3139
572,160,4,2,False,2021-02-17T18:00:00Z,1,1,24,90,0,0,0,1,0,0,0,0,0,0,0,16,19.0,0.1,17.0,3.6,45,12851,50677,15990,3139
