element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
259,3,10,1,True,2020-09-12T16:30:00Z,4,3,1,88,0,0,0,3,0,0,0,0,0,0,0,10,7.8,30.4,0.0,3.8,75,0,3227802,0,0
259,11,5,7,False,2020-09-20T15:30:00Z,0,2,2,90,0,0,1,0,0,0,0,0,0,0,1,27,9.6,33.8,11.0,5.4,75,-331983,3097107,39515,371498
259,23,1,7,True,2020-09-28T19:00:00Z,3,1,3,90,0,1,0,1,0,0,0,1,0,0,3,31,35.2,45.6,11.0,9.2,75,-186261,3020468,90839,277100
259,30,2,-1,False,2020-10-04T18:15:00Z,7,2,4,90,0,0,0,7,0,0,0,0,0,0,0,17,18.2,17.1,18.0,5.3,75,-50240,3037764,81298,131538
259,41,7,1,False,2020-10-17T11:30:00Z,2,2,5,90,0,0,0,2,0,0,0,0,0,0,0,14,12.2,16.9,8.0,3.7,75,-250781,2815810,65251,316032
259,54,15,2,True,2020-10-24T19:00:00Z,2,1,6,90,0,0,0,1,0,0,0,0,0,0,0,21,24.0,48.0,13.0,8.5,75,-250665,2588416,54191,304856
259,63,19,2,True,2020-10-31T17:30:00Z,2,1,7,90,0,0,0,1,0,0,0,0,0,0,0,18,17.6,25.2,14.0,5.7,74,-172615,2437601,35782,208397
259,75,12,2,False,2020-11-08T16:30:00Z,1,1,8,62,0,0,0,1,0,0,0,0,0,0,0,6,8.6,8.3,18.0,3.5,74,-276861,2162671,15110,291971
259,83,9,0,True,2020-11-22T19:15:00Z,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,73,-713796,1423974,4542,718338
259,90,3,0,False,2020-11-28T12:30:00Z,1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,73,-333503,1132771,413,333916
259,103,20,1,True,2020-12-06T19:15:00Z,4,0,11,22,0,0,0,0,0,0,0,0,0,0,0,4,12.8,0.3,0.0,1.3,72,-141717,997109,1759,143476
259,112,8,2,False,2020-12-13T16:30:00Z,1,1,12,67,0,0,0,1,0,0,0,0,0,0,0,11,14.2,18.5,2.0,3.5,72,12835,1023238,34365,21530
259,127,17,2,True,2020-12-16T20:00:00Z,2,1,13,90,0,0,0,1,0,0,0,0,0,0,0,17,14.0,28.4,10.0,5.2,72,-8134,1014658,9798,17932
259,132,6,9,False,2020-12-19T12:30:00Z,0,7,14,90,0,1,1,0,0,0,0,0,0,0,0,32,29.2,28.8,7.0,6.5,72,10375,1029122,23556,13181
259,144,18,2,True,2020-12-27T16:30:00Z,1,1,15,90,0,0,0,1,0,0,0,0,0,0,0,17,18.0,73.0,16.0,10.7,72,82689,1121933,97698,15009
259,155,14,6,False,2020-12-30T20:00:00Z,0,0,16,90,0,0,1,0,0,0,0,0,0,0,0,23,16.2,22.2,14.0,5.2,72,10705,1132188,30958,20253
259,166,16,2,False,2021-01-04T20:00:00Z,1,0,17,76,0,0,0,1,0,0,0,0,0,0,0,5,3.8,34.2,5.0,4.3,73,517,1135896,24564,24047
259,184,13,6,True,2021-01-17T16:30:00Z,0,0,19,90,0,0,1,0,0,0,0,0,0,0,0,27,11.6,4.6,25.0,4.1,73,-12547,1080795,14182,26729
259,177,4,2,True,2021-01-21T20:00:00Z,0,1,19,90,0,0,0,1,0,0,0,0,0,0,0,13,12.2,42.2,57.0,11.1,73,-12547,1080795,14182,26729
259,198,17,14,False,2021-01-28T20:00:00Z,1,3,20,90,1,1,0,1,0,0,0,0,0,0,3,43,63.2,17.8,21.0,10.2,73,-30804,1050665,9372,40176
259,208,19,2,False,2021-01-31T16:30:00Z,1,3,21,90,0,0,0,1,0,0,0,0,0,0,0,15,10.0,5.2,4.0,1.9,73,85047,1143437,98165,13118
259,216,3,2,True,2021-02-03T20:15:00Z,0,1,22,90,0,0,0,1,0,0,0,0,0,0,0,20,17.2,32.4,4.0,5.4,73,101490,1249060,112597,11107
259,223,12,0,True,2021-02-07T16:30:00Z,1,4,23,90,0,0,0,4,0,0,0,0,0,0,0,21,26.0,31.1,0.0,5.7,74,-34929,1215348,23766,58695
259,234,9,1,False,2021-02-13T12:30:00Z,3,1,24,90,0,0,0,3,0,0,0,0,0,0,0,16,31.8,32.5,26.0,9.0,74,-50821,1167010,19058,69879
