element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
41,10,15,10,True,2020-09-21T17:00:00Z,1,0,2,90,0,1,1,0,0,0,0,0,0,0,1,35,31.8,12.7,6.0,5.1,50,-3793,94974,4157,7950
41,22,8,12,False,2020-09-28T16:45:00Z,0,3,3,90,1,0,1,0,0,0,0,1,0,0,1,31,61.4,0.2,34.0,9.6,50,33228,155915,44618,11390
41,30,11,1,True,2020-10-04T18:15:00Z,7,2,4,90,0,0,0,2,0,0,0,0,0,0,0,16,24.2,0.3,2.0,2.7,50,85306,268558,104350,19044
41,43,9,7,False,2020-10-18T18:15:00Z,0,1,5,90,0,0,1,0,0,0,0,0,0,0,1,26,18.4,0.5,2.0,2.1,51,120209,424835,157777,37568
41,50,10,0,True,2020-10-23T19:00:00Z,0,3,6,90,0,0,0,3,0,0,0,1,0,0,0,11,11.4,10.6,0.0,2.2,52,297802,750216,320289,22487
41,59,16,6,True,2020-11-01T12:00:00Z,3,4,7,90,1,0,0,4,0,0,0,0,0,0,0,25,46.0,0.8,54.0,10.1,52,9373,749568,62436,53063
41,69,1,6,False,2020-11-08T19:15:00Z,0,3,8,90,0,0,1,0,0,0,0,0,0,0,0,22,15.2,0.7,2.0,1.8,52,31506,788897,63683,32177
41,79,3,1,True,2020-11-21T15:00:00Z,1,2,9,90,0,0,0,2,0,0,0,0,0,0,0,9,13.2,1.3,19.0,3.4,53,205584,1035405,230729,25145
41,98,19,1,False,2020-11-30T20:00:00Z,2,1,10,90,0,0,0,2,0,0,0,0,0,0,0,13,5.8,0.5,0.0,0.6,53,-14905,993662,40062,54967
41,118,20,8,False,2020-12-12T12:30:00Z,0,1,12,90,0,0,1,0,0,0,0,0,0,0,2,25,24.6,1.7,2.0,2.8,53,-36585,862322,15076,51661
41,120,4,6,True,2020-12-17T18:00:00Z,0,0,13,90,0,0,1,0,0,0,0,0,0,0,0,22,11.6,20.5,10.0,4.2,53,42123,914851,54530,12407
41,138,18,5,False,2020-12-20T19:15:00Z,0,3,14,90,0,0,1,0,0,0,0,1,0,0,0,25,15.8,11.7,2.0,3.0,53,76396,993721,89584,13188
41,140,6,-2,True,2020-12-26T15:00:00Z,3,0,15,44,0,0,0,0,0,0,0,0,1,0,0,-7,0.0,0.2,0.0,0.0,54,85345,1087827,121682,36337
41,151,5,0,False,2020-12-28T17:30:00Z,1,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-280017,796863,4969,284986
41,164,13,1,False,2021-01-01T20:00:00Z,2,1,17,90,0,0,0,2,0,0,0,0,0,0,0,12,17.8,0.2,6.0,2.4,54,-42351,764517,19081,61432
41,380,12,1,False,2021-01-20T18:00:00Z,2,0,19,90,0,0,0,2,0,0,0,0,0,0,0,13,40.6,0.1,0.0,4.1,54,-25483,688736,12268,37751
41,99,14,6,True,2021-01-23T20:00:00Z,2,0,19,90,0,0,1,0,0,0,0,0,0,0,0,26,24.2,0.3,4.0,2.9,54,-25483,688736,12268,37751
41,190,4,1,False,2021-01-27T18:00:00Z,3,2,20,90,0,0,0,3,0,0,0,0,0,0,0,10,21.2,0.0,17.0,3.8,54,-23629,673542,16187,39816
41,206,16,7,False,2021-01-30T20:00:00Z,0,1,21,90,0,0,1,0,0,0,0,0,0,0,1,27,24.8,0.3,0.0,2.5,54,-27911,646403,6210,34121
41,209,19,1,True,2021-02-03T20:15:00Z,1,3,22,90,0,0,0,3,0,0,0,0,0,0,0,12,20.6,0.9,20.0,4.2,54,1247,649782,13490,12243
