element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
558,34,9,5,False,2020-10-04T11:00:00Z,0,3,4,90,0,0,1,0,0,0,0,1,0,0,0,21,19.2,24.8,0.0,4.4,45,260,326,275,15
558,47,17,4,False,2020-10-18T15:30:00Z,3,3,5,90,0,1,0,3,0,0,0,0,0,0,0,16,12.0,3.7,22.0,3.8,45,7226,10400,9701,2475
558,57,12,7,True,2020-10-24T11:30:00Z,1,1,6,90,0,1,0,1,0,0,0,1,0,0,3,23,35.2,14.8,0.0,5.0,45,2177,12331,3512,1335
558,63,11,1,False,2020-10-31T17:30:00Z,2,1,7,90,0,0,0,2,0,0,0,0,0,0,0,5,7.8,1.5,0.0,0.9,45,19215,33627,21103,1888
558,78,8,8,True,2020-11-07T20:00:00Z,1,0,8,90,0,0,1,0,0,0,0,0,0,0,2,31,25.8,36.0,6.0,6.8,45,53371,90739,56794,3423
558,86,15,6,False,2020-11-22T14:00:00Z,0,1,9,90,0,0,1,0,0,0,0,0,0,0,0,27,18.4,43.3,19.0,8.1,45,61155,157068,71779,10624
558,98,2,2,True,2020-11-30T20:00:00Z,2,1,10,90,0,0,0,1,0,0,0,0,0,0,0,5,8.0,1.0,1.0,1.0,46,19950,173482,26488,6538
558,108,13,1,True,2020-12-05T17:30:00Z,1,3,11,84,0,0,0,3,0,0,0,0,0,0,0,13,10.8,25.3,4.0,4.0,46,8200,181184,17200,9000
558,113,10,2,False,2020-12-11T20:00:00Z,1,2,12,90,0,0,0,1,0,0,0,0,0,0,0,16,18.2,25.3,0.0,4.4,46,2736,185716,11013,8277
558,125,6,8,True,2020-12-16T20:00:00Z,1,1,13,90,0,1,0,1,0,0,0,0,0,0,3,39,52.0,67.1,2.0,12.1,46,6895,193953,13708,6813
558,131,5,1,False,2020-12-21T20:00:00Z,3,0,14,90,0,0,0,3,0,0,0,0,0,0,0,23,25.6,30.5,2.0,5.8,46,36100,231140,40616,4516
558,147,3,1,True,2020-12-27T14:15:00Z,2,2,15,90,0,0,0,2,0,0,0,0,0,0,0,9,17.2,20.7,20.0,5.8,47,124554,361077,131788,7234
558,156,16,0,False,2020-12-29T18:00:00Z,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,47,26612,385872,44892,18280
558,163,7,6,False,2021-01-01T17:30:00Z,0,1,17,90,0,0,1,0,0,0,0,0,0,0,0,24,20.2,1.3,0.0,2.2,47,4888,391682,34598,29710
558,187,4,6,True,2021-01-16T15:00:00Z,1,0,19,90,0,0,1,0,0,0,0,0,0,0,0,22,12.8,14.8,0.0,2.8,47,161435,598646,183981,22546
558,175,18,6,True,2021-01-19T18:00:00Z,2,1,19,90,0,1,0,1,0,0,0,0,0,0,1,23,29.4,28.1,10.0,6.8,47,161435,598646,183981,22546
558,195,6,1,False,2021-01-26T18:00:00Z,2,3,20,90,0,0,0,2,0,0,0,0,0,0,0,15,21.6,13.3,6.0,4.1,47,22372,586286,61953,39581
558,208,11,1,True,2021-01-31T16:30:00Z,1,3,21,90,0,0,0,3,0,0,0,0,0,0,0,17,17.6,6.3,0.0,2.4,47,-35966,549869,16326,52292
558,209,2,2,False,2021-02-03T20:15:00Z,1,3,22,90,0,0,0,1,0,0,0,0,0,0,0,17,25.8,26.8,7.0,6.0,47,-3029,548103,16918,19947
558,221,8,6,False,2021-02-06T17:30:00Z,0,0,23,90,0,0,1,0,0,0,0,0,0,0,0,21,10.6,15.5,6.0,3.2,47,3731,553456,28045,24314
558,238,15,6,True,2021-02-15T18:00:00Z,3,0,24,90,0,0,1,0,0,0,0,0,0,0,0,16,14.6,2.2,21.0,3.8,47,-9185,544074,29087,38272
