element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
561,34,19,0,True,2020-10-04T11:00:00Z,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,0,0,0,0
561,43,2,2,True,2020-10-18T18:15:00Z,0,1,5,90,0,0,0,1,0,0,0,0,0,0,0,20,26.6,0.3,0.0,2.7,50,724,1119,891,167
561,49,1,5,False,2020-10-25T19:15:00Z,0,1,6,90,0,0,1,0,0,0,0,1,0,0,0,21,14.0,1.1,0.0,1.5,50,1159,2589,1454,295
561,62,10,2,False,2020-11-02T20:00:00Z,1,4,7,90,0,0,0,1,0,0,0,0,0,0,0,14,21.0,0.3,2.0,2.3,50,3443,6704,3813,370
561,74,20,7,True,2020-11-08T14:00:00Z,1,0,8,90,0,0,1,0,0,0,0,1,0,0,2,25,17.6,12.8,0.0,3.0,50,3113,10421,3948,835
561,83,11,1,False,2020-11-22T19:15:00Z,3,0,9,90,0,0,0,3,0,0,0,0,0,0,0,15,19.2,1.2,4.0,2.4,50,5930,17187,8422,2492
561,94,8,1,True,2020-11-30T17:30:00Z,1,2,10,90,0,0,0,2,0,0,0,0,0,0,0,9,15.2,3.3,9.0,2.8,50,24187,45429,26023,1836
561,105,15,2,False,2020-12-06T14:15:00Z,1,2,11,90,0,0,0,1,0,0,0,0,0,0,0,17,27.8,4.4,2.0,3.4,50,7268,52776,11448,4180
561,114,3,6,True,2020-12-13T19:15:00Z,3,0,12,90,0,0,1,0,0,0,0,0,0,0,0,31,31.4,1.8,0.0,3.3,50,-985,49983,4333,5318
561,123,7,1,True,2020-12-16T18:00:00Z,0,2,13,90,0,0,0,2,0,0,0,0,0,0,0,20,43.8,1.3,18.0,6.3,50,-2088,47953,2294,4382
561,137,17,10,False,2020-12-20T14:15:00Z,0,2,14,90,0,1,1,0,0,0,0,0,0,0,1,32,11.8,10.3,12.0,3.4,50,-4491,43769,1724,6215
561,143,13,1,True,2020-12-26T12:30:00Z,2,2,15,90,0,0,0,2,0,0,0,0,0,0,0,11,7.8,0.7,0.0,0.9,50,10935,56771,14397,3462
561,152,6,0,False,2020-12-28T15:00:00Z,1,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,10734,68393,13988,3254
561,165,14,2,False,2021-01-03T14:15:00Z,1,2,17,90,0,0,0,1,0,0,0,0,0,0,0,14,26.6,0.3,4.0,3.1,50,-13615,54146,2292,15907
561,183,16,0,True,2021-01-16T20:00:00Z,2,0,19,52,0,0,0,0,0,0,0,1,0,0,0,5,11.6,0.9,2.0,1.5,50,2815,54972,6572,3757
561,173,5,6,True,2021-01-19T20:15:00Z,2,0,19,90,0,0,1,0,0,0,0,1,0,0,1,25,20.6,0.5,0.0,2.1,50,2815,54972,6572,3757
561,191,7,2,False,2021-01-27T20:15:00Z,1,1,20,90,0,0,0,1,0,0,0,0,0,0,0,16,19.2,11.4,2.0,3.3,50,2695,57666,8619,5924
561,204,10,1,True,2021-01-31T14:00:00Z,1,3,21,78,0,0,0,2,0,0,0,0,0,0,0,8,5.0,0.6,18.0,2.4,50,2540,60811,5688,3148
561,211,8,0,False,2021-02-03T18:00:00Z,0,2,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-3705,57360,3439,7144
