element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
141,1,16,8,True,2020-09-12T14:00:00Z,1,0,1,90,1,0,1,0,0,0,0,0,0,0,0,18,31.6,1.4,21.0,5.4,70,0,461359,0,0
141,15,13,15,False,2020-09-19T16:30:00Z,1,3,2,90,2,0,0,1,0,0,0,0,0,0,3,44,71.2,42.8,57.0,17.1,70,18583,603201,93188,74605
141,21,7,1,True,2020-09-26T14:00:00Z,1,2,3,90,0,0,0,2,0,0,0,1,0,0,0,-1,1.6,2.9,46.0,5.1,71,466643,1210529,598146,131503
141,31,5,2,False,2020-10-03T11:30:00Z,4,0,4,90,0,0,0,4,0,0,0,0,0,0,0,3,5.4,12.1,28.0,4.6,72,244879,1490194,378872,133993
141,40,3,9,True,2020-10-18T13:00:00Z,1,1,5,90,1,0,0,1,0,0,0,0,0,0,2,19,35.6,1.7,21.0,5.8,72,-139108,1371672,191682,330790
141,53,8,13,False,2020-10-24T14:00:00Z,1,2,6,90,1,1,0,1,0,0,0,0,0,0,3,43,66.4,47.3,109.0,22.3,72,133920,1541444,240498,106578
141,68,20,1,False,2020-10-30T20:00:00Z,2,0,7,90,0,0,0,2,0,0,0,1,0,0,0,3,3.2,18.9,30.0,5.2,73,441776,2009284,482570,40794
141,72,10,5,True,2020-11-07T15:00:00Z,4,1,8,90,0,1,0,1,0,0,0,0,0,0,0,15,28.6,35.7,34.0,9.8,74,134174,2153649,252864,118690
141,80,4,0,False,2020-11-23T17:30:00Z,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,74,83431,2263264,208184,124753
141,92,14,0,True,2020-11-27T20:00:00Z,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,73,-796361,1429165,29524,825885
141,107,18,18,False,2020-12-06T12:00:00Z,1,5,11,80,2,1,0,1,0,0,0,0,0,0,3,50,63.0,6.6,90.0,16.0,73,-335104,1120326,38608,373712
141,110,17,2,True,2020-12-13T14:15:00Z,1,1,12,90,0,0,0,1,0,0,0,0,0,0,0,-3,1.4,2.1,39.0,4.3,74,246103,1397764,287699,41596
141,125,19,2,False,2020-12-16T20:00:00Z,1,1,13,90,0,0,0,1,0,0,0,0,0,0,0,0,1.6,4.8,30.0,3.6,75,279088,1682629,316730,37642
141,132,11,2,True,2020-12-19T12:30:00Z,0,7,14,90,0,0,0,7,0,0,0,0,0,0,0,6,2.4,12.3,12.0,2.7,75,12825,1693584,115009,102184
141,140,2,1,False,2020-12-26T15:00:00Z,3,0,15,90,0,0,0,3,0,0,0,1,0,0,0,0,9.2,11.7,26.0,4.7,75,-90788,1606382,86747,177535
141,152,9,7,True,2020-12-28T15:00:00Z,1,1,16,90,1,0,0,1,0,0,0,0,0,0,0,16,36.4,4.0,23.0,6.3,75,-113813,1499144,39863,153676
141,162,15,3,True,2021-01-02T15:00:00Z,2,0,17,90,0,0,1,0,0,0,0,0,0,0,0,14,13.0,25.3,45.0,8.3,74,200889,1718216,259167,58278
141,169,1,3,False,2021-01-14T20:00:00Z,0,0,18,90,0,0,1,0,0,0,0,0,0,0,0,6,5.4,2.9,32.0,4.0,74,-105143,1566937,83550,188693
141,185,12,0,False,2021-01-17T19:15:00Z,4,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,73,-264972,1313208,16420,281392
141,195,19,7,True,2021-01-26T18:00:00Z,2,3,20,90,1,0,0,3,0,0,0,0,0,0,0,18,36.4,8.1,34.0,7.9,72,-201519,1162758,34685,236204
141,202,20,2,True,2021-01-30T15:00:00Z,1,0,21,90,0,0,1,0,0,0,0,1,0,0,0,-1,0.0,17.2,23.0,4.0,72,4308,1173907,55101,50793
141,217,14,1,False,2021-02-02T20:15:00Z,1,2,22,57,0,0,0,1,0,0,0,0,0,0,0,6,4.4,2.3,0.0,0.7,72,45028,1222621,92289,47261
