element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
642,194,5,1,False,2021-01-27T18:00:00Z,0,0,20,18,0,0,0,0,0,0,0,0,0,0,0,3,6.0,0.3,0.0,0.6,70,1647,1743,2105,458
642,202,6,2,False,2021-01-30T15:00:00Z,1,0,21,90,0,0,0,1,0,0,0,0,0,0,0,3,7.0,1.9,60.0,6.9,70,6752,8808,7597,845
642,215,1,5,True,2021-02-02T18:00:00Z,2,1,22,90,0,1,0,1,0,0,0,0,0,0,0,18,6.8,19.4,19.0,4.5,70,4408,13493,6439,2031
642,228,9,2,True,2021-02-07T14:00:00Z,0,0,23,60,0,0,1,0,0,0,0,0,0,0,0,6,1.4,1.0,2.0,0.4,70,4993,19092,7239,2246
642,236,16,2,False,2021-02-14T12:00:00Z,1,2,24,88,0,0,0,1,0,0,0,0,0,0,0,3,0.0,5.3,43.0,4.8,70,-303,19023,5344,5647
642,248,10,2,True,2021-02-19T20:00:00Z,1,0,25,86,0,0,1,0,0,0,0,0,0,0,0,7,8.4,44.8,2.0,5.5,70,2319,22081,7349,5030
642,255,14,2,False,2021-02-27T20:00:00Z,1,1,26,82,0,0,0,1,0,0,0,0,0,0,0,4,3.8,11.2,2.0,1.7,70,-1925,20524,4746,6671
642,284,12,0,False,2021-03-02T20:00:00Z,4,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,70,-1925,20524,4746,6671
642,259,2,2,False,2021-03-06T17:30:00Z,0,0,27,77,0,0,1,0,0,0,0,0,0,0,0,10,0.8,14.0,9.0,2.4,70,-4078,16772,1448,5526
642,278,11,2,True,2021-03-15T20:00:00Z,0,1,28,69,0,0,0,1,0,0,0,0,0,0,0,9,2.4,5.9,2.0,1.0,69,-2932,14065,1045,3977
