element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
478,2,8,14,False,2020-09-12T11:30:00Z,0,3,1,74,0,3,1,0,0,0,0,0,0,0,2,35,38.6,38.0,38.0,11.5,80,0,473242,0,0
478,9,19,2,True,2020-09-19T19:00:00Z,2,1,2,63,0,0,0,1,0,0,0,0,0,0,0,11,6.4,20.9,4.0,3.1,81,407231,1119588,474433,67202
478,23,11,2,False,2020-09-28T19:00:00Z,3,1,3,67,0,0,0,2,0,0,0,0,0,0,0,6,0.8,13.7,0.0,1.5,81,-253539,858445,81422,334961
478,29,15,2,True,2020-10-04T13:00:00Z,2,1,4,90,0,0,0,1,0,0,0,0,0,0,0,12,6.4,8.3,0.0,1.5,80,-2745,902846,133795,136540
478,44,12,2,False,2020-10-17T16:30:00Z,1,0,5,68,0,0,0,1,0,0,0,0,0,0,0,9,4.6,29.5,0.0,3.4,79,-236095,667520,27924,264019
478,49,9,0,True,2020-10-25T19:15:00Z,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,79,-175335,500111,5542,180877
478,64,13,3,False,2020-11-01T16:30:00Z,0,1,7,85,0,0,1,0,0,0,0,0,0,0,0,10,0.0,4.1,4.0,0.8,78,-110167,397965,2777,112944
478,69,2,2,True,2020-11-08T19:15:00Z,0,3,8,64,0,0,0,1,0,0,0,0,0,0,0,11,2.6,19.2,12.0,3.4,78,-21502,382402,14695,36197
478,82,10,1,False,2020-11-22T16:30:00Z,0,0,9,45,0,0,0,0,0,0,0,0,0,0,0,4,6.4,1.7,4.0,1.2,77,-39196,343737,5602,44798
478,89,20,5,True,2020-11-29T19:15:00Z,1,2,10,64,0,1,0,2,0,0,0,0,0,0,0,17,24.0,18.8,3.0,4.6,77,-43777,300636,851,44628
478,106,17,2,False,2020-12-06T16:30:00Z,2,0,11,90,0,0,0,2,0,0,0,0,0,0,0,11,7.2,26.9,12.0,4.6,76,-16828,285828,2840,19668
478,109,4,2,True,2020-12-13T19:15:00Z,0,1,12,82,0,0,0,1,0,0,0,0,0,0,0,21,12.8,57.8,9.0,8.0,76,3255,291503,16460,13205
478,119,16,0,True,2020-12-16T18:00:00Z,1,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,76,-11252,279963,3786,15038
478,133,7,2,False,2020-12-19T17:30:00Z,2,1,14,90,0,0,0,2,0,0,0,0,0,0,0,12,4.6,18.3,3.0,2.6,76,-15174,265343,1271,16445
478,139,5,0,True,2020-12-26T17:30:00Z,3,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,76,-12782,253287,1696,14478
478,149,3,0,False,2020-12-29T18:00:00Z,0,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,76,-9076,244532,302,9378
478,168,18,1,False,2021-01-02T20:00:00Z,0,4,17,19,0,0,0,0,0,0,0,0,0,0,0,9,9.6,26.4,21.0,5.7,76,-8280,236445,104,8384
478,169,6,0,True,2021-01-14T20:00:00Z,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,75,-4993,232966,1612,6605
478,179,14,1,True,2021-01-18T20:00:00Z,3,0,19,11,0,0,0,0,0,0,0,0,0,0,0,3,2.6,14.9,8.0,2.6,75,-2633,229545,264,2897
478,197,16,1,False,2021-01-26T20:15:00Z,1,3,20,18,0,0,0,0,0,0,0,0,0,0,0,4,4.0,1.5,0.0,0.6,75,-3283,226966,634,3917
478,199,13,1,True,2021-01-30T17:30:00Z,0,0,21,45,0,0,0,0,0,0,0,0,0,0,0,10,14.0,31.0,20.0,6.5,75,-2258,224982,169,2427
478,215,20,0,False,2021-02-02T18:00:00Z,2,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,75,-1393,223888,570,1963
478,219,2,1,False,2021-02-06T12:30:00Z,1,0,23,16,0,0,0,0,0,0,0,0,0,0,0,3,1.0,2.6,20.0,2.4,75,-2370,221787,272,2642
478,229,10,1,True,2021-02-14T16:30:00Z,4,2,24,28,0,0,0,1,0,0,0,0,0,0,0,3,0.4,0.3,0.0,0.1,75,-2313,219854,324,2637
