element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
247,3,10,0,True,2020-09-12T16:30:00Z,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,65,0,4288,0,0
247,11,5,0,False,2020-09-20T15:30:00Z,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,65,-1142,3332,45,1187
247,23,1,0,True,2020-09-28T19:00:00Z,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,64,-540,2993,98,638
247,30,2,0,False,2020-10-04T18:15:00Z,7,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,64,-44,3379,242,286
247,41,7,0,False,2020-10-17T11:30:00Z,2,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,64,-254,3515,206,460
247,54,15,0,True,2020-10-24T19:00:00Z,2,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,64,-58,3716,182,240
247,63,19,4,True,2020-10-31T17:30:00Z,2,1,7,20,0,1,0,0,0,0,0,0,0,0,0,17,19.6,15.7,0.0,3.5,64,-32,3912,187,219
247,75,12,1,False,2020-11-08T16:30:00Z,1,1,8,31,0,0,0,0,0,0,0,0,0,0,0,6,2.8,0.9,2.0,0.6,64,187,4344,426,239
247,83,9,0,True,2020-11-22T19:15:00Z,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,64,268,4971,632,364
247,90,3,0,False,2020-11-28T12:30:00Z,1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,64,-450,4532,96,546
247,103,20,0,True,2020-12-06T19:15:00Z,4,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,64,-371,4195,19,390
247,112,8,0,False,2020-12-13T16:30:00Z,1,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,64,-175,4043,30,205
247,127,17,0,True,2020-12-16T20:00:00Z,2,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,64,-70,3978,13,83
247,132,6,0,False,2020-12-19T12:30:00Z,0,7,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,64,-56,3927,23,79
247,144,18,0,True,2020-12-27T16:30:00Z,1,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,64,-71,3869,39,110
247,155,14,1,False,2020-12-30T20:00:00Z,0,0,16,1,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,64,11,3908,56,45
247,166,16,0,False,2021-01-04T20:00:00Z,1,0,17,33,0,0,0,0,0,0,0,1,0,0,0,1,6.6,26.5,3.0,3.6,64,55,4050,127,72
247,184,13,2,True,2021-01-17T16:30:00Z,0,0,19,75,0,0,1,0,0,0,0,1,0,0,0,5,1.4,24.3,9.0,3.5,64,300,4750,455,155
247,177,4,2,True,2021-01-21T20:00:00Z,0,1,19,83,0,0,0,1,0,0,0,0,0,0,0,14,11.4,35.5,39.0,8.6,64,300,4750,455,155
247,198,17,0,False,2021-01-28T20:00:00Z,1,3,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,64,126,5100,475,349
247,208,19,7,False,2021-01-31T16:30:00Z,1,3,21,68,0,1,1,0,0,0,0,0,0,0,1,28,26.2,41.9,20.0,8.8,64,-137,5039,128,265
247,216,3,2,True,2021-02-03T20:15:00Z,0,1,22,63,0,0,0,1,0,0,0,0,0,0,0,9,1.8,26.3,2.0,3.0,64,1241,6467,1484,243
247,223,12,1,True,2021-02-07T16:30:00Z,1,4,23,22,0,0,0,3,0,0,0,0,0,0,0,5,2.6,1.9,0.0,0.5,64,-405,6262,487,892
247,234,9,1,False,2021-02-13T12:30:00Z,3,1,24,3,0,0,0,0,0,0,0,0,0,0,0,3,0.4,0.8,0.0,0.1,64,-370,6070,336,706
