element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
162,4,17,6,False,2020-09-13T15:30:00Z,0,1,1,90,0,0,1,0,0,0,0,0,0,0,0,27,23.2,0.4,1.0,2.5,55,0,54492,0,0
162,12,18,1,True,2020-09-19T11:30:00Z,5,2,2,90,0,0,0,2,0,0,0,0,0,0,0,17,25.2,1.5,2.0,2.9,55,11979,92644,19670,7691
162,21,6,2,False,2020-09-26T14:00:00Z,1,2,3,90,0,0,0,1,0,0,0,0,0,0,0,15,17.0,0.3,0.0,1.7,55,7,102121,15442,15435
162,32,3,8,True,2020-10-03T14:00:00Z,4,2,4,90,1,0,0,2,0,0,0,0,0,0,1,31,64.6,0.7,33.0,9.8,55,-2299,106524,8849,11148
162,41,11,1,True,2020-10-17T11:30:00Z,2,2,5,90,0,0,0,2,0,0,0,0,0,0,0,6,6.0,0.2,4.0,1.0,55,18505,140836,34403,15898
162,56,16,1,False,2020-10-25T14:00:00Z,2,0,6,90,0,0,0,2,0,0,0,0,0,0,0,14,17.6,0.4,19.0,3.7,55,14554,160610,25439,10885
162,65,14,0,False,2020-11-01T14:00:00Z,2,1,7,90,0,0,0,2,0,0,0,1,0,0,0,9,8.0,1.2,0.0,0.9,55,7794,172821,16798,9004
162,73,13,0,True,2020-11-07T12:30:00Z,1,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,-9666,163847,6352,16018
162,81,8,1,False,2020-11-22T12:00:00Z,2,3,9,90,0,0,0,2,0,0,0,0,0,0,0,13,28.6,0.0,0.0,2.9,55,-9531,157450,7437,16968
162,93,10,0,True,2020-11-28T17:30:00Z,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,-5354,152854,3990,9344
162,101,4,2,False,2020-12-05T12:30:00Z,1,1,11,90,0,0,0,1,0,0,0,0,0,0,0,20,22.6,0.3,2.0,2.5,55,-9201,144640,4113,13314
162,111,5,6,True,2020-12-12T20:00:00Z,1,0,12,90,0,0,1,0,0,0,0,0,0,0,0,21,16.2,0.3,8.0,2.5,55,-8331,136805,1236,9567
162,123,9,6,False,2020-12-16T18:00:00Z,0,2,13,90,0,0,1,0,0,0,0,0,0,0,0,22,16.2,0.3,37.0,5.4,55,-1472,136260,1866,3338
162,133,1,11,True,2020-12-19T17:30:00Z,2,1,14,90,1,0,0,1,0,0,0,0,0,0,3,29,57.2,1.6,33.0,9.2,55,4527,141968,7144,2617
162,146,15,7,False,2020-12-26T20:00:00Z,0,1,15,90,0,0,1,0,0,0,0,0,0,0,1,29,23.2,0.7,2.0,2.6,55,59442,211355,64386,4944
162,163,19,2,True,2021-01-01T17:30:00Z,0,1,17,90,0,0,0,1,0,0,0,0,0,0,0,15,18.0,11.8,6.0,3.6,56,53285,283194,65480,12195
162,176,20,2,False,2021-01-12T20:15:00Z,1,2,18,90,0,0,0,1,0,0,0,0,0,0,0,13,16.4,1.3,7.0,2.5,56,22636,355926,53616,30980
162,191,9,2,True,2021-01-27T20:15:00Z,1,1,20,90,0,0,0,1,0,0,0,0,0,0,0,11,21.8,0.3,2.0,2.4,56,-20199,248951,5583,25782
162,203,14,1,True,2021-01-30T12:30:00Z,0,2,21,90,0,0,0,2,0,0,0,0,0,0,0,17,15.4,0.2,26.0,4.2,56,-3469,246907,7567,11036
162,212,10,2,False,2021-02-03T19:30:00Z,1,2,22,90,0,0,0,1,0,0,0,0,0,0,0,9,20.8,0.8,0.0,2.2,56,-10685,236454,2466,13151
162,224,13,0,False,2021-02-06T20:00:00Z,3,3,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,-10579,226657,2553,13132
162,233,8,0,True,2021-02-14T19:00:00Z,0,2,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,833,232027,16893,16060
162,153,12,1,True,2021-02-17T20:15:00Z,1,3,24,17,0,0,0,0,0,0,0,0,0,0,0,4,5.2,0.0,0.0,0.5,55,833,232027,16893,16060
162,244,11,0,False,2021-02-20T17:30:00Z,0,2,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,-30007,198760,1299,31306
162,251,16,0,True,2021-03-01T20:00:00Z,1,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,-37438,161064,88,37526
162,287,18,0,False,2021-03-04T18:00:00Z,0,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,-37438,161064,88,37526
162,262,5,0,False,2021-03-08T18:00:00Z,2,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,-12173,149959,56,12229
162,271,4,0,True,2021-03-13T17:30:00Z,1,2,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,-6783,143359,311,7094
