element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
76,7,5,2,True,2020-09-14T19:15:00Z,1,3,1,90,0,0,0,3,0,0,0,0,0,0,0,13,8.4,3.8,5.0,1.7,45,0,269810,0,0
76,16,14,0,False,2020-09-20T13:00:00Z,0,3,2,88,0,0,1,0,0,0,0,0,1,0,0,3,0.0,3.9,2.0,0.3,45,21711,314988,52550,30839
76,19,13,0,True,2020-09-26T11:30:00Z,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-68822,242593,13774,82596
76,32,7,9,False,2020-10-03T14:00:00Z,4,2,4,90,1,0,0,4,0,0,0,0,0,0,2,33,47.4,8.3,15.0,7.1,45,-13257,233951,10162,23419
76,40,6,1,False,2020-10-18T13:00:00Z,1,1,5,90,0,0,0,1,0,0,0,1,0,0,0,5,6.6,14.6,32.0,5.3,45,17783,259023,66445,48662
76,51,18,2,True,2020-10-26T17:30:00Z,1,1,6,90,0,0,0,1,0,0,0,0,0,0,0,9,4.2,3.3,0.0,0.8,45,14690,275399,38217,23527
76,67,17,2,False,2020-11-01T19:15:00Z,2,1,7,90,0,0,0,2,0,0,0,0,0,0,0,5,7.4,2.7,8.0,1.8,45,-101,275283,16177,16278
76,70,4,2,True,2020-11-06T17:30:00Z,0,0,8,90,0,0,1,0,0,0,0,1,0,0,0,7,14.2,3.8,9.0,2.7,45,-6519,269346,11749,18268
76,79,2,1,False,2020-11-21T15:00:00Z,1,2,9,90,0,0,0,1,0,0,0,1,0,0,0,11,17.2,2.3,0.0,2.0,45,-13132,255868,15556,28688
76,90,11,2,True,2020-11-28T12:30:00Z,1,1,10,90,0,0,0,1,0,0,0,0,0,0,0,14,20.2,2.1,0.0,2.2,45,-3829,253824,10247,14076
76,100,16,1,True,2020-12-07T20:00:00Z,1,2,11,90,0,0,0,2,0,0,0,1,0,0,0,15,19.4,2.8,7.0,2.9,45,-7826,246180,10391,18217
76,114,9,2,False,2020-12-13T19:15:00Z,3,0,12,71,0,0,0,3,0,0,0,0,0,0,0,25,15.4,11.9,9.0,3.6,45,-2474,245166,8949,11423
76,121,8,3,False,2020-12-16T20:00:00Z,0,0,13,90,0,0,1,0,0,0,0,0,0,0,0,14,13.2,17.2,7.0,3.7,45,-1471,243900,7662,9133
76,129,15,2,True,2020-12-20T12:00:00Z,1,1,14,90,0,0,0,1,0,0,0,0,0,0,0,9,12.6,17.2,8.0,3.8,45,-4293,240163,6001,10294
76,147,19,2,False,2020-12-27T14:15:00Z,2,2,15,90,0,0,0,2,0,0,0,0,0,0,0,23,19.2,16.8,0.0,3.6,45,5362,247150,19066,13704
76,149,1,2,True,2020-12-29T18:00:00Z,0,1,16,90,0,0,0,1,0,0,0,0,0,0,0,20,22.6,19.0,0.0,4.2,45,-10222,236812,8752,18974
76,159,20,0,True,2021-01-02T17:30:00Z,3,3,17,45,0,0,0,3,0,0,0,1,0,0,0,1,6.4,1.2,0.0,0.8,45,-8586,228627,8956,17542
76,178,12,0,False,2021-01-13T18:00:00Z,1,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-39916,139642,2376,42292
76,182,10,1,False,2021-01-16T15:00:00Z,0,1,19,28,0,0,0,0,0,0,0,0,0,0,0,4,3.8,1.0,0.0,0.5,45,-20481,170127,3803,24284
76,189,8,2,True,2021-01-27T19:30:00Z,0,0,20,90,0,0,1,0,0,0,0,1,0,0,0,13,16.6,13.8,8.0,3.8,45,-12243,161597,3273,15516
76,200,17,3,True,2021-01-31T19:15:00Z,1,0,21,90,0,0,1,0,0,0,0,0,0,0,0,11,13.0,1.8,0.0,1.5,45,-19038,142618,1060,20098
76,216,11,3,False,2021-02-03T20:15:00Z,0,1,22,90,0,0,1,0,0,0,0,0,0,0,0,9,16.4,1.9,5.0,2.3,44,-7822,135053,1290,9112
