element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
238,5,18,6,False,2020-09-13T13:00:00Z,0,3,1,90,0,0,1,0,0,0,0,0,0,0,0,29,15.6,1.4,6.0,2.3,55,0,771267,0,0
238,14,4,1,True,2020-09-20T18:00:00Z,4,2,2,90,0,0,0,2,0,0,0,0,0,0,0,17,32.4,20.9,36.0,8.9,55,-16165,861165,41879,58044
238,24,12,0,False,2020-09-27T15:30:00Z,2,5,3,90,0,0,0,2,0,0,0,1,0,0,0,4,15.0,0.5,2.0,1.8,55,-95807,787846,30897,126704
238,34,19,1,True,2020-10-04T11:00:00Z,0,3,4,90,0,0,0,3,0,0,0,0,0,0,0,14,20.4,1.8,0.0,2.2,55,-64334,746576,19529,83863
238,43,2,0,True,2020-10-18T18:15:00Z,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,-153786,595195,8685,162471
238,49,1,0,False,2020-10-25T19:15:00Z,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-190759,408583,254,191013
238,62,10,0,False,2020-11-02T20:00:00Z,1,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-91782,325591,123,91905
238,74,20,0,True,2020-11-08T14:00:00Z,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,-46336,280914,77,46413
238,83,11,0,False,2020-11-22T19:15:00Z,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,-30496,250572,118,30614
238,94,8,0,True,2020-11-30T17:30:00Z,1,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,-12347,239597,73,12420
238,105,15,0,False,2020-12-06T14:15:00Z,1,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,-8530,231331,662,9192
238,114,3,0,True,2020-12-13T19:15:00Z,3,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,-5957,225772,107,6064
238,123,7,0,True,2020-12-16T18:00:00Z,0,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,-3697,222239,53,3750
238,137,17,0,False,2020-12-20T14:15:00Z,0,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,-4435,217876,17,4452
238,143,13,0,True,2020-12-26T12:30:00Z,2,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,-5606,212200,85,5691
238,152,6,0,False,2020-12-28T15:00:00Z,1,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,-1732,210715,150,1882
238,165,14,1,False,2021-01-03T14:15:00Z,1,2,17,11,0,0,0,1,0,0,0,0,0,0,0,3,0.0,0.0,2.0,0.2,53,149,211257,1533,1384
238,183,16,1,True,2021-01-16T20:00:00Z,2,0,19,37,0,0,0,0,0,0,0,0,0,0,0,7,8.2,0.1,0.0,0.8,53,340,211522,1406,1066
238,173,5,0,True,2021-01-19T20:15:00Z,2,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,340,211522,1406,1066
238,191,7,1,False,2021-01-27T20:15:00Z,1,1,20,13,0,0,0,0,0,0,0,0,0,0,0,4,6.8,0.4,0.0,0.7,53,-1042,210721,1414,2456
238,204,10,0,True,2021-01-31T14:00:00Z,1,3,21,45,0,0,0,2,0,0,0,0,0,0,0,8,5.6,10.5,4.0,2.0,53,-23,211003,1232,1255
238,211,8,6,False,2021-02-03T18:00:00Z,0,2,22,90,0,0,1,0,0,0,0,0,0,0,0,27,14.8,0.1,21.0,3.6,53,430,211716,1937,1507
238,228,20,5,False,2021-02-07T14:00:00Z,0,0,23,90,0,0,1,0,0,0,0,1,0,0,0,23,25.0,0.9,4.0,3.0,53,1851,214289,3248,1397
238,234,11,2,True,2021-02-13T12:30:00Z,3,1,24,90,0,0,0,1,0,0,0,0,0,0,0,15,21.4,0.1,0.0,2.2,53,2449,217553,4709,2260
